PGC,PGC1,T17,Vcmb,DM,e_DM,DMtrgb,e_DMtrgb,DMceph,e_DMceph,DMsnIa,e_DMsnIa,distance_mpc,distance_err_mpc,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB
1008927,1008927,0,14909,36.196,0.93,,,,,,,173.4602627879284,74.28970484995037,0.04973107095309249,14.1837,-8.0603,126.9399,-70.8909,288.8013,-2.5855
1009090,1009090,0,11345,37.436,1.41,,,,,,,307.0435650730065,199.3722899059923,0.03784284660023035,64.8533,-8.0493,201.8095,-37.3338,303.2224,-51.233
1009408,1009408,0,11768,36.036,0.59,,,,,,,161.1387535720004,43.78221164166645,0.03925382272291854,242.1571,-8.0281,3.7784,30.7316,143.4491,42.4567
1009651,1009651,0,16072,36.356,0.54,,,,,,,186.72393883829503,46.434357872012534,0.053610421380247,36.1311,-8.0112,176.3126,-60.8269,294.443,-23.6181
1009942,1009942,0,12332,35.936,0.63,,,,,,,153.8863149819954,44.646378196559446,0.04113512421983611,24.0054,-7.9903,153.8741,-68.1417,291.4013,-11.9637
1010513,1010513,0,8076,35.946,0.72,,,,,,,154.59662193866728,51.259950302862464,0.026938636328202762,168.6729,-7.949,265.7554,47.8169,117.693,-26.2053
1011299,1011299,0,11579,35.866,0.69,,,,,,,149.00471117870993,47.34725169094534,0.03862338658299403,78.1205,-7.8991,208.6915,-25.5677,310.7837,-63.7508
1011507,45697,0,7066,35.125,0.39,,,,,,,105.92537251772886,19.024370330874767,0.023569638966701424,197.4256,-7.8854,310.7769,54.7079,125.0358,1.3705
1012045,1012045,0,15259,37.246,1.09,,,,,,,281.3196056799963,141.21218802844754,0.050898545286286026,325.3594,-7.8512,47.0424,-41.1413,269.6652,42.5378
1012775,1012775,0,13366,36.816,0.69,,,,,,,230.78097296984055,73.3322102787683,0.044584176964185006,150.8337,-7.8052,247.4675,36.3754,112.356,-43.3333
1013118,1013118,0,7970,36.046,0.96,,,,,,,161.88253626421067,71.5676764450636,0.02658505838729272,301.355,-7.7808,34.3237,-19.966,244.2656,60.7483
1013257,31501,0,9181,35.866,0.67,,,,,,,149.00471117870993,45.97486758396143,0.03062451958014234,159.2749,-7.7722,255.1183,42.295,114.9298,-35.2096
1013321,41748,0,8112,35.016,0.56,,,,,,,100.73954848112501,25.97967485205002,0.027058719402474094,188.779,-7.7697,295.8926,54.8788,122.63,-6.8529
1013405,170097,0,8614,35.716,0.76,,,,,,,139.0592875465446,48.66976806715102,0.02873321116036882,163.1862,-7.7641,259.2037,44.7963,116.0218,-31.4431
1013437,45327,0,8001,35.456,0.69,,,,,,,123.3672829766327,39.20078601083381,0.026688463256804146,196.5725,-7.7617,309.3429,54.9251,124.6838,0.5921
1013442,1013442,0,10503,35.476,0.74,,,,,,,124.50878639160531,42.43042717282937,0.035034236918661914,172.6114,-7.7611,270.7099,49.975,118.5101,-22.3709
1013867,1013867,0,15858,36.436,0.63,,,,,,,193.73139245819553,56.20646005622174,0.05289659421652296,307.3564,-7.7359,37.2163,-25.2804,253.0319,56.8925
1014379,1014379,0,14112,36.066,0.61,,,,,,,163.38041693006832,45.89607212625994,0.04707256511436322,137.8188,-7.705,237.9044,26.3735,106.9188,-55.7473
1014436,1014436,0,15060,37.036,1.0,,,,,,,255.3877135779325,117.61038844367609,0.0502347527368417,170.6181,-7.7025,268.0243,49.0449,117.9339,-24.2749
1014511,28942,0,10546,35.696,0.59,,,,,,,137.78438433514526,37.4367117912612,0.035177669479597114,150.1612,-7.6983,246.8165,35.952,111.9847,-43.9524
1015000,1015000,0,15413,36.646,0.63,,,,,,,213.40274428489772,61.91362520209765,0.05141223399289118,323.6035,-7.6705,46.1352,-39.5346,268.6731,44.1312
1015083,170199,0,15030,36.766,0.56,,,,,,,225.52775667452468,58.161247264416694,0.050134683508282256,191.8244,-7.6648,301.1344,55.1925,123.3216,-3.9129
1015682,1015682,0,6622,34.925,0.42,,,,,,,96.60508789898121,18.685080565500183,0.02208861438402163,86.4591,-7.6316,212.3648,-18.036,319.9922,-71.2519
1015729,1015729,0,13923,36.486,0.69,,,,,,,198.24397628726373,62.99336019133875,0.04644212897443871,31.9248,-7.6288,169.2672,-63.4132,293.7686,-19.4807
1015970,1015970,0,9445,35.456,0.56,,,,,,,123.3672829766327,31.81513067545933,0.03150512879146546,344.731,-7.615,63.92,-56.9691,279.8876,25.28
1016275,1016275,0,5132,34.495,0.48,,,,,,,79.2501330480471,17.518096797525892,0.017118509365569166,201.3756,-7.597,317.504,54.3081,125.8625,5.2073
1016377,1016377,0,9144,35.386,0.67,,,,,,,119.45380829338873,36.85704280921521,0.030501100864919025,204.2905,-7.5911,322.2441,53.5574,126.7016,7.9738
1016393,1016393,0,13922,36.536,0.63,,,,,,,202.8616716966295,58.85538890975241,0.04643879333348673,31.7682,-7.5903,168.9468,-63.4845,293.7682,-19.3207
1016399,1016399,0,15275,37.136,0.59,,,,,,,267.42376570889945,72.66038521917001,0.05095191554151773,25.4263,-7.5912,156.6155,-67.1155,292.1571,-13.2274
1016461,1016461,0,8067,36.196,0.76,,,,,,,173.4602627879284,60.7098663289917,0.02690861555963493,324.0341,-7.5862,46.5008,-39.8663,269.0756,43.8068
1016757,1016757,0,10005,35.196,0.56,,,,,,,109.44602678150785,28.224984452507037,0.03337308772457511,328.2948,-7.5698,49.3372,-43.5211,271.8655,40.1271
1017066,1020462,0,13627,36.626,0.65,,,,,,,211.44625616525892,63.29348966401832,0.045454779252652185,136.3624,-7.5524,236.8421,25.2814,105.8924,-57.0832
1017079,1017079,0,7657,35.226,0.67,,,,,,,110.96857267741241,34.23895388587005,0.025541002769322505,333.3058,-7.5517,53.0758,-47.7467,274.7219,35.6993
1017536,1017536,0,10197,35.226,0.59,,,,,,,110.96857267741241,30.150720586064672,0.03401353078735556,68.2809,-7.5253,203.1995,-34.0881,305.5864,-54.3583
1017727,1017727,0,15614,37.866,1.04,,,,,,,374.2829122408053,179.25819689192002,0.052082697824239466,27.6966,-7.5134,161.3047,-65.8603,292.8111,-15.3884
1018365,1018365,0,9850,35.946,0.67,,,,,,,154.59662193866728,47.70023153183035,0.03285606337701798,50.5101,-7.4742,191.1367,-49.286,299.0034,-37.3285
1018638,1018638,0,14133,35.876,0.67,,,,,,,149.69248567600346,46.187077930805906,0.047142613574354834,31.9854,-7.4586,169.1232,-63.2448,293.9592,-19.4976
1019008,31501,0,9151,35.736,0.72,,,,,,,140.34598729211737,46.53483526085202,0.030524450351582896,159.4004,-7.4375,254.9417,42.6274,114.569,-35.0086
1019651,97226,0,15666,36.726,0.59,,,,,,,221.41141120912616,60.15859655453122,0.052256151153742506,121.5059,-7.3981,228.3523,12.913,92.904,-70.7422
1019683,1019683,0,8490,33.705,0.5,,,,,,,55.0807696405403,12.68281590849471,0.02831959168232311,56.3844,-7.3965,195.5871,-44.3179,300.989,-42.9531
