PGC1,DMzp,e_DMzp,Dist,Vh,Vls,V3k,Vpds,Vpwf,Vpec,Hi,z,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,SGX,SGY,SGZ
3840045,37.41,0.54,303.4,20797,20818,20976,-589,-253,-253,72.9,0.06996840460876438,226.7301,11.3445,13.1867,54.5097,113.3275,34.5399,-6790,15747,11803
3840140,37.6,0.48,331.1,23509,23513,23693,290,126,126,75.9,0.07903134107529818,226.8237,7.1804,7.4662,52.1248,118.2589,33.7107,-9260,17228,13049
3840173,38.117,0.315,420.1,23260,23269,23442,-6012,-2361,-2361,59.2,0.0781940951963508,226.8555,8.4957,9.2611,52.8575,116.7285,34.0527,-8670,17219,13030
3840304,38.09,0.54,415.0,25229,25260,25403,-3668,-1503,-1503,65.2,0.08473528710318656,226.9591,13.5495,16.7107,55.4151,110.7366,35.1656,-7311,19312,14548
3840308,38.17,0.52,430.5,22850,22867,23029,-7118,-2744,-2744,56.7,0.07681647548318243,226.9625,10.2082,11.7471,53.7151,114.7345,34.5321,-7881,17110,12962
3840346,37.476,0.329,312.8,22463,22471,22644,481,211,211,76.7,0.07553225371666955,226.9918,8.2052,8.9928,52.5815,117.1075,34.1168,-8476,16560,12603
3840390,37.31,0.5,289.7,17356,17438,17507,-3192,-1284,-1284,63.2,0.058397066146340486,227.0245,25.7802,38.2795,59.4763,95.721,36.3911,-1399,13968,10346
3840408,38.62,0.52,529.7,24940,25020,25093,-11480,-4224,-4224,50.5,0.0837012384080723,227.0442,25.0436,36.8649,59.3201,96.6364,36.3925,-2327,20006,14844
3840422,35.23,0.51,111.2,10163,10170,10345,2227,1081,1081,95.6,0.03450720564824883,227.0562,7.78,8.4811,52.2857,117.6246,34.0788,-3906,7463,5698
3840466,37.94,0.51,387.3,23810,23901,23957,-3282,-1348,-1348,65.7,0.07991195028662129,227.0829,27.7026,42.0507,59.7134,93.3323,36.4527,-1117,19192,14201
3840518,38.14,0.52,424.6,26728,26811,26879,-2803,-1167,-1167,67.7,0.08965869314831129,227.1177,25.7284,38.2088,59.3845,95.7872,36.4741,-2173,21450,15938
3840540,37.13,0.49,266.7,22115,22121,22296,3361,1566,1566,88.4,0.07437145066537998,227.1334,7.5856,8.2939,52.1111,117.8746,34.1067,-8563,16191,12404
3840546,36.99,0.53,250.0,22991,23001,23171,5469,2662,2662,98.2,0.07729013649836382,227.1368,8.4823,9.5026,52.6205,116.8215,34.3204,-8571,16953,12968
3840550,38.16,0.343,428.5,27739,27738,27922,-1993,-841,-841,69.8,0.09313776666122801,227.1392,6.0729,6.3282,51.2156,119.6424,33.737,-11408,20049,15405
3840558,37.57,0.55,326.6,24766,24783,24944,1905,856,856,81.3,0.08320422790622706,227.1469,10.2163,11.923,53.5664,114.7711,34.7112,-8536,18499,14112
3840593,37.31,0.55,289.7,22569,22579,22749,2202,999,999,83.2,0.07588249601662761,227.1862,8.3954,9.43,52.531,116.9376,34.348,-8444,16619,12739
3840604,35.79,0.54,143.9,16383,16408,16558,6258,3338,3338,120.1,0.05523154288291002,227.1908,11.9547,14.4863,54.4349,112.7045,35.1006,-5181,12384,9435
3840702,38.8,0.47,575.4,22850,22850,23033,-16389,-5587,-5587,42.4,0.07682981804699036,227.2653,5.9749,6.3232,51.0564,119.7951,33.8331,-9431,16472,12722
3840725,37.55,0.54,323.6,23731,23746,23909,1037,459,459,78.5,0.07975183952092618,227.283,9.6368,11.2274,53.1404,115.4947,34.7187,-8401,17618,13525
3840732,38.22,0.51,440.6,21831,21884,21995,-8818,-3293,-3293,52.8,0.07336742273883355,227.2888,18.5146,25.0703,57.2337,104.7387,36.1754,-4494,17084,12917
3840742,37.32,0.53,291.1,22774,22784,22954,2322,1056,1056,83.6,0.07656630241178383,227.2981,8.3006,9.4044,52.3861,117.0804,34.4338,-8554,16732,12883
3840799,36.7,0.54,218.8,22960,22959,23142,7702,3961,3961,112.1,0.07719340291075635,227.3331,5.9039,6.2972,50.9599,119.8987,33.8799,-9501,16524,12798
3840808,38.03,0.48,403.6,28010,28031,28186,-34,-15,-15,74.9,0.09401837587255114,227.34,10.8227,12.9603,53.7267,114.0957,35.0221,-9371,20955,16086
3840834,37.575,0.225,327.3,23789,23805,23966,836,369,369,77.8,0.07994197105518912,227.3522,9.771,11.477,53.156,115.3531,34.8142,-8368,17662,13590
3840844,38.34,0.58,465.6,27582,27593,27761,-4629,-1883,-1883,63.9,0.092600728467959,227.3567,8.4718,9.6897,52.4348,116.8945,34.5297,-10282,20273,15640
3840875,37.5,0.55,316.2,23790,23836,23957,1601,716,716,80.5,0.07991195028662129,227.3726,16.6971,22.0651,56.4534,106.9839,36.0364,-5630,18435,14023
3841087,36.83,0.339,232.3,16783,16800,16960,275,120,120,76.3,0.05657247054560659,227.5051,9.6849,11.4926,52.9827,115.4951,34.9429,-5927,12430,9622
3841123,37.795,0.162,362.2,23272,23285,23450,-2102,-879,-879,68.7,0.07822078032396666,227.5273,8.8443,10.3515,52.5032,116.5002,34.7787,-8533,17116,13282
3841154,38.057,0.277,408.7,22957,22959,23138,-5557,-2195,-2195,60.0,0.07718006034694842,227.5492,6.1612,6.8284,50.9413,119.6654,34.1537,-9403,16509,12889
