sn_name,z,z_frame,mu,mu_source,mu_err,m_b_corr,m_b_corr_err,host_logmass,host_logmass_err,ra,dec,vpec,is_calibrator
1994T,0.03564,CMB,35.9325,SH0ES,0.204232,16.6795,0.202439,10.2173,0.19,200.378,-2.149,-55.0583,0
ASASSN-15mi,0.03501,CMB,35.5515,SH0ES,0.204326,16.2985,0.202534,9.51083,0.297,210.815,41.6041,-241.958,0
ASASSN-15ss,0.03592,CMB,35.9909,SH0ES,0.187185,16.7379,0.185228,10.7564,0.104,93.1391,-14.2575,-19.5249,0
2001ck,0.03544,CMB,35.8586,SH0ES,0.223482,16.6056,0.221845,7.0,,219.459,30.4839,-209.706,0
PS15bbn,0.03602,CMB,36.1845,SH0ES,0.187245,16.9315,0.185288,7.94021,0.012,315.99,13.3684,-64.0261,0
1996bl,0.03481,CMB,35.7348,SH0ES,0.155656,16.4818,0.153296,10.1459,0.16,9.0749,11.3946,63.5454,0
2003gn,0.03316,CMB,36.0229,SH0ES,0.243018,16.7699,0.241513,7.0,,338.465,20.8024,-170.66,0
2008gp,0.03245,CMB,35.7268,SH0ES,0.162633,16.4738,0.160376,10.4696,,50.753,1.3619,-257.669,0
2010ag,0.03336,CMB,35.8159,SH0ES,0.198961,16.5629,0.19712,10.6105,0.461,255.973,31.5017,3.241,0
2005iq,0.03292,CMB,35.8647,SH0ES,0.150987,16.6117,0.148553,10.49,0.28089,359.635,-18.7092,-141.551,0
PS15bsq,0.03309,CMB,35.7797,SH0ES,0.159699,16.5267,0.1574,10.9397,0.013,355.467,-8.6379,-179.377,0
2004L,0.03344,CMB,35.829,SH0ES,0.273673,16.576,0.272338,10.1437,0.047,156.767,16.0187,-83.4708,0
2003cq,0.03323,CMB,35.8276,SH0ES,0.259126,16.5746,0.257715,10.4839,0.037,179.059,60.522,-159.416,0
ASASSN-16db,0.03589,CMB,35.8698,SH0ES,0.18969,16.6168,0.187759,10.678,0.013,167.357,29.5732,-408.932,0
2006S,0.0331,CMB,35.9089,SH0ES,0.177213,16.6559,0.175145,10.2024,0.087,191.413,35.0868,-240.121,0
ASASSN-15bc,0.03639,CMB,35.949,SH0ES,0.262609,16.696,0.261217,8.86694,0.011,61.561,-8.8856,-330.399,0
2006gr,0.03352,CMB,35.9188,SH0ES,0.207416,16.6658,0.205651,10.0957,,338.095,30.8287,-220.637,0
ASASSN-16dw,0.03565,CMB,35.7837,SH0ES,0.217075,16.5307,0.215389,10.1423,0.001,202.503,-27.9739,371.74,0
AT2016hns,0.03704,CMB,35.9789,SH0ES,0.163683,16.7259,0.16144,10.4701,0.017,324.921,24.4065,-105.312,0
1990O,0.03093,CMB,35.4926,SH0ES,0.166476,16.2396,0.164272,10.4738,,258.901,16.322,6.1158,0
2005hj,0.05631,CMB,36.9903,SH0ES,0.171451,17.7373,0.169312,9.22407,0.13,21.7017,-1.2381,-217.878,0
ASASSN-16hr,0.0298,CMB,35.4648,SH0ES,0.278746,16.2118,0.277436,9.46113,0.003,336.382,38.9844,-300.269,0
1992bh,0.0451,CMB,36.551,SH0ES,0.270525,17.298,0.269174,10.1363,0.3,74.8628,-58.8304,202.276,0
2005eq,0.02831,CMB,35.558,SH0ES,0.160985,16.305,0.158705,10.3697,0.478,47.2055,-7.0332,23.0788,0
2009ad,0.02834,CMB,35.372,SH0ES,0.160301,16.119,0.158011,10.4871,3.5,75.8891,6.6599,-30.4927,0
2008ar,0.02732,CMB,35.4368,SH0ES,0.180322,16.1838,0.178289,9.98914,,186.158,10.8382,-342.801,0
AT2016cvv,0.04404,CMB,36.5469,SH0ES,0.231201,17.2939,0.229619,11.4594,0.034,290.12,54.2087,-97.4435,0
ASASSN-15fs,0.0285,CMB,35.2391,SH0ES,0.185823,15.9861,0.183851,10.0517,0.001,284.67,43.4689,-196.215,0
2007is,0.02953,CMB,35.3449,SH0ES,0.211378,16.0919,0.209647,10.7887,0.067,251.811,40.2436,253.015,0
ASASSN-15mg,0.04307,CMB,36.3298,SH0ES,0.181208,17.0768,0.179185,9.84386,0.029,233.094,41.8504,-289.796,0
1998ab,0.02806,CMB,34.9487,SH0ES,0.227749,15.6957,0.226143,10.3527,0.18,192.197,41.9245,-194.196,0
MASTERJ0134,0.04391,CMB,36.2594,SH0ES,0.177777,17.0064,0.175714,9.19675,0.002,23.5627,-17.8121,60.6481,0
ASASSN-15la,0.02845,CMB,35.0558,SH0ES,0.218663,15.8028,0.21699,10.5989,0.125,213.213,35.7112,-166.734,0
