AGC,RAJ2000,DEJ2000,cz,rgal,Vgal
2451,02 59 32.4,+37 00 31,16434,17134,-700
121403,02 59 54.4,+05 44 20,13328,18295,-4967
22258,03 00 15.3,-22 17 31,2837,4118,-1281
2461,03 00 22.6,+34 04 20,6610,6014,596
2479,03 00 40.2,+00 01 13,2645,3657,-1012
2483,03 01 36.8,+31 49 09,6030,6163,-133
2491,03 01 53.9,+35 43 58,4689,1149,3696
2497,03 02 08.1,+29 06 21,2923,2470,465
2498,03 02 12.1,+17 20 44,6733,6444,289
22286,03 03 31.0,-20 10 35,3155,3407,-252
2503,03 03 34.6,+46 23 09,2220,2080,140
2520,03 04 55.6,+21 22 35,4016,3594,451
22324,03 05 52.8,-27 13 43,6285,6898,-613
22338,03 06 29.2,-66 46 30,5488,5548,-60
22332,03 06 40.3,-32 51 53,4620,4262,358
22335,03 07 13.2,-31 24 03,4586,4276,294
2550,03 08 15.6,+36 26 57,3853,3391,415
2563,03 09 36.7,+18 30 03,10539,9098,1441
22383,03 10 06.4,-53 20 17,995,1087,-92
2567,03 10 13.1,+40 45 56,2825,2930,-105
430082,03 11 15.0,-08 55 22,3847,4215,-410
430083,03 11 19.2,-08 54 07,3833,4441,-636
2581,03 12 08.0,+40 14 36,4087,6455,-1242
430088,03 12 14.2,-10 28 51,3776,4888,-1083
22401,03 12 25.0,-24 32 47,6341,5670,671
2589,03 12 33.1,+12 23 03,9676,8785,891
22419,03 13 03.8,-57 21 25,1099,1434,-335
2604,03 14 40.4,+39 37 03,4353,4613,600
22444,03 15 50.3,-58 34 27,5363,5050,313
2617,03 16 00.8,+40 53 07,4507,3274,1939
22440,03 16 05.2,-34 21 34,4820,5446,-626
430121,03 16 06.6,-13 02 04,5286,4159,1127
2628,03 16 31.8,-00 28 07,6638,6879,-172
22485,03 20 35.1,-18 42 56,3803,3980,-177
2690,03 20 42.9,-01 06 32,6103,6341,-214
130453,03 22 10.1,+14 53 01,9913,8431,1482
2703,03 22 34.4,+14 54 49,9942,11436,-1494
2711,03 23 29.8,+01 19 26,9732,9598,134
2709,03 23 53.7,+38 40 37,4984,3736,1477
430240,03 25 01.6,-05 44 42,5513,5603,-90
2727,03 25 07.8,+05 14 05,8660,8446,214
22555,03 25 23.6,-25 40 47,12660,11919,741
2736,03 26 27.6,+40 30 27,5505,3545,1668
2743,03 27 48.0,+40 02 03,3921,3923,1290
22630,03 29 56.6,-28 46 28,10944,11884,-940
22691,03 30 46.8,-73 46 58,8249,7667,582
22648,03 31 19.1,-26 33 50,4170,4800,-630
2781,03 32 59.0,+15 52 27,9168,11113,-2042
2786,03 34 12.4,+02 58 24,5618,3382,2236
2796,03 36 52.6,+13 24 23,8924,8004,920
430371,03 37 06.0,-05 02 30,4009,4182,-240
22830,03 37 42.5,-72 23 29,8329,8597,-268
2802,03 37 50.9,+04 56 55,9512,7642,1870
2804,03 38 05.1,+01 56 12,6789,6885,-96
2806,03 38 20.2,+07 38 08,8749,9326,-577
22810,03 38 59.7,-22 35 02,4227,5583,-1356
130373,03 39 00.0,+15 44 29,7766,7290,476
130374,03 39 12.7,+15 58 51,9322,10638,-1316
130308,03 39 13.5,+15 49 09,9665,7033,2632
130396,03 41 02.1,+13 34 26,9906,16414,-6508
130381,03 41 26.3,+13 34 22,9842,11098,-1256
430418,03 41 29.4,-04 39 57,5303,4790,608
2823,03 41 35.7,+16 01 14,8969,8103,968
430424,03 41 57.3,-04 42 20,3989,3866,76
2830,03 42 03.9,+15 59 17,9042,8017,1054
22870,03 42 10.5,-27 51 59,3998,3752,246
2832,03 42 12.5,-00 21 16,7454,4899,2555
430428,03 42 16.3,-04 43 55,4069,3068,874
2833,03 42 51.2,+15 59 59,9094,9211,-140
430441,03 43 14.0,-04 44 04,5496,4660,738
2839,03 43 50.2,+14 17 42,6396,7462,-1066
22931,03 44 51.6,-59 08 16,5433,5143,290
430475,03 45 00.1,-04 12 15,5194,3478,1716
430536,03 46 35.7,-04 27 18,3669,4468,-526
22946,03 46 57.0,-25 31 21,4066,4105,-81
430544,03 46 57.8,-03 27 43,3857,4248,-306
22950,03 47 05.0,-37 22 40,5666,5964,-298
22948,03 47 10.3,-26 56 41,4049,4711,-662
22974,03 48 50.3,-18 58 41,4171,5089,-918
22997,03 49 39.7,-55 48 45,8434,7904,530
23011,03 49 50.2,-71 38 07,1460,927,533
2860,03 51 16.7,+78 17 52,4174,5610,-1436
2888,03 53 19.3,+32 19 46,3906,2730,1176
23028,03 53 53.6,-17 35 35,8431,7541,890
23036,03 54 24.8,-19 11 25,7397,7114,283
23046,03 55 08.7,-17 28 03,8375,10530,-2155
23066,03 55 38.7,-51 30 25,5813,5372,441
23064,03 56 18.7,-21 49 14,7338,7092,246
23067,03 56 37.0,-18 03 39,6296,6120,176
430691,03 56 55.5,-52 24 05,10111,8930,1593
23072,03 57 08.1,-18 46 41,7438,8748,-1310
23074,03 57 13.4,-25 23 54,4370,3562,808
430695,03 57 57.3,-52 15 18,9688,10427,96
23091,03 58 13.7,-35 26 45,4450,6824,-2374
2910,03 58 22.9,+06 42 52,5389,3929,1460
430697,03 58 24.4,-52 08 25,10267,10294,229
430698,03 58 55.3,-52 33 17,10425,9806,717
2896,03 59 00.9,+79 33 21,2160,3134,-987
23129,03 59 35.7,-67 38 29,1334,1328,43
23113,03 59 40.4,-52 40 47,9760,10896,-373
2915,03 59 55.2,+32 36 45,5184,5958,-774
23128,04 00 07.8,-61 16 00,5780,5844,-64
23138,04 00 18.3,-67 48 26,1291,1691,-320
23111,04 00 26.4,-25 10 53,4051,4148,-97
23130,04 00 40.8,-52 44 01,10537,4543,5980
23136,04 01 17.9,-52 42 25,9939,9601,922
23139,04 01 51.4,-41 56 30,4388,4585,-197
2931,04 02 18.5,+25 49 01,5626,4495,1131
23154,04 02 32.5,-62 18 53,5376,4666,582
2936,04 02 48.3,+01 57 55,3701,3301,426
2954,04 05 30.4,+04 26 42,5234,4025,1211
2956,04 06 28.6,+31 16 57,4432,4485,-53
2963,04 07 38.8,+03 58 04,5198,3648,1588
23200,04 07 45.8,-29 51 34,4066,5009,-943
23207,04 07 47.3,-45 02 23,4991,5034,-43
2966,04 08 47.0,+08 30 53,3467,3477,-52
2969,04 09 01.5,-01 09 35,4970,3694,1276
23242,04 10 22.4,-23 36 14,4165,4136,29
2983,04 12 52.5,+02 22 09,4915,4397,523
2994,04 14 23.4,+02 43 52,3226,3633,-414
3002,04 16 54.5,+03 05 47,3476,3384,117
440081,04 16 55.4,-07 28 55,8825,7711,1114
440085,04 17 12.3,-17 51 23,9503,8592,911
23349,04 17 35.3,-62 47 02,1297,1058,236
3007,04 18 30.1,+33 46 28,5535,689,4846
3009,04 19 05.9,+26 10 46,3655,2886,769
23372,04 20 15.0,-45 01 54,4516,4665,-104
23377,04 21 37.0,-17 55 45,8873,6979,1894
3013,04 23 27.0,+75 17 45,2394,1462,941
23417,04 23 29.4,-54 43 50,11563,7549,4014
3029,04 23 58.8,-00 49 37,4916,4145,775
440126,04 24 29.9,-53 24 42,12036,10419,1617
23431,04 25 48.2,-51 38 22,11105,10018,1087
23564,04 27 30.2,-83 33 03,4873,4150,723
440570,04 28 15.8,-53 06 33,12766,13346,-580
440571,04 28 26.6,-53 43 19,15768,14811,957
23482,04 28 30.7,-53 44 10,10745,10359,386
23473,04 28 32.8,-47 46 51,5094,3358,1512
440160,04 28 36.6,-53 24 38,13034,11278,1756
440548,04 29 05.3,-61 13 01,18820,20597,-2814
440573,04 29 06.6,-54 01 22,13193,13412,-219
3043,04 29 09.6,+70 53 50,7349,8935,-1686
23505,04 29 23.0,-62 53 19,5980,5493,207
23498,04 29 27.7,-53 49 39,12732,9439,3293
23484,04 29 30.6,-26 42 47,4074,3535,557
440556,04 29 59.0,-61 24 55,15919,16517,1266
440574,04 30 17.3,-53 29 23,12892,10576,2316
3062,04 30 38.2,-00 18 15,3497,3306,195
440578,04 30 39.9,-00 17 04,12691,10898,1793
440168,04 30 51.7,-05 47 55,4270,5440,-1178
3066,04 30 58.1,+05 32 31,4573,4949,-404
3070,04 30 59.6,-02 00 12,2454,2237,217
23518,04 31 24.1,-54 24 56,982,1439,-398
440177,04 31 24.3,-03 55 44,4715,4247,15
3083,04 32 14.6,+01 43 35,10166,12091,-1925
23538,04 32 41.4,-43 42 56,4448,4330,118
3084,04 32 48.3,+10 23 28,3993,3447,546
23539,04 33 15.1,-24 40 27,12415,9875,2540
23540,04 33 22.7,-18 40 39,6228,5511,717
440286,04 35 19.3,-07 24 20,8985,8042,943
3085,04 36 08.6,+72 54 11,4245,5509,-1264
440300,04 36 36.6,-03 11 20,4795,4473,229
3103,04 36 37.3,-00 08 37,3456,3010,491
440304,04 37 05.9,-03 18 12,4713,4300,402
23618,04 37 20.6,-69 12 12,5537,4741,796
440474,04 37 31.2,-03 06 13,4378,5073,-371
440307,04 37 35.9,-04 42 53,3644,3984,-250
3109,04 37 37.7,-00 17 35,3660,4494,-767
440309,04 37 55.5,-09 30 49,4954,4603,305
3092,04 38 19.2,+72 16 55,4735,6634,-1899
23642,04 38 52.8,-64 12 28,8694,8095,599
23613,04 39 19.1,-22 12 40,9331,9422,-91
23619,04 39 39.7,-22 30 46,5457,5845,-388
23688,04 39 47.9,-76 50 14,4354,4914,-560
3122,04 39 51.5,+07 03 18,4630,5441,-856
3127,04 40 25.4,-02 01 26,3298,2230,1050
23663,04 40 26.6,-63 06 24,4221,8168,-3947
23641,04 40 37.3,-21 58 02,8586,5162,3424
440628,04 41 06.4,-02 50 00,18638,16764,1874
440323,04 41 28.0,-02 51 29,671,1201,-530
3133,04 41 36.4,-01 48 33,3251,2929,313
440326,04 41 44.1,-07 05 10,4486,6356,-1870
23734,04 42 43.1,-79 22 51,9546,8541,1005
23694,04 43 59.8,-41 27 47,5208,5366,-158
440348,04 46 29.8,-04 47 20,4634,4564,240
3143,04 46 35.8,+70 07 13,4498,5114,-610
23744,04 46 45.8,-63 01 49,6998,7872,-874
3162,04 46 52.3,+08 16 14,4603,4211,423
3171,04 47 45.3,+01 49 08,4513,8953,-4440
23759,04 47 49.9,-62 36 42,5173,4428,570
23740,04 48 02.7,-25 13 46,4551,4713,-162
23746,04 48 31.3,-23 55 20,8144,8147,-3
23777,04 49 51.2,-36 06 12,5326,4662,664
440373,04 49 53.9,-10 45 14,4446,3981,562
23797,04 51 21.7,-33 56 17,5469,4436,1033
440388,04 51 42.1,-06 13 37,4500,4056,425
3187,04 51 45.3,+06 50 01,4700,4811,-111
3186,04 51 46.0,+03 40 05,4543,4369,176
23803,04 52 13.2,-18 23 44,9545,9380,165
440399,04 52 54.3,-15 20 52,5685,6910,-1225
23819,04 53 09.2,-17 42 19,10225,9201,1024
3189,04 54 38.4,+69 42 54,4510,4794,-290
440406,04 54 39.0,-12 12 22,4903,4471,432
23850,04 55 16.8,-22 43 40,6817,4461,2356
23854,04 55 29.9,-31 48 41,5683,6892,-1209
3207,04 56 09.7,+02 09 22,4529,4757,-212
440415,04 56 19.3,-15 47 53,5503,6513,-764
23869,04 56 33.8,-28 30 09,4942,5270,-328
440418,04 56 45.7,-10 35 35,4095,3452,533
3211,04 57 22.6,+01 53 35,4163,4193,-47
440604,04 57 27.0,-00 04 14,7054,8373,-1319
3214,04 57 56.7,-00 07 32,4888,4247,673
3219,04 58 50.0,+06 58 37,8452,5979,2503
23929,04 58 54.4,-63 17 52,5024,4790,208
440441,04 59 26.6,-16 33 44,3436,2812,624
23913,04 59 35.2,-19 11 57,6738,5898,840
440444,04 59 41.6,-11 16 14,3664,4249,-264
23918,04 59 55.0,-18 32 40,5613,5012,601
23923,04 59 57.8,-26 01 22,744,753,57
440448,05 00 15.5,-03 20 56,3619,2593,1026
440466,05 02 09.4,-08 14 27,3568,3508,60
450004,05 02 17.6,-30 27 16,6378,6025,353
450003,05 02 29.1,-15 32 44,4303,4225,78
3231,05 02 34.5,+00 14 44,4819,4420,399
23964,05 02 36.9,-20 55 22,9736,7847,1889
23969,05 02 54.7,-18 46 12,5329,4945,384
450005,05 03 16.5,-02 56 13,4308,4361,-161
3237,05 03 27.6,+00 39 36,4181,4228,-82
3236,05 03 33.2,+06 39 25,8495,9641,-1159
3238,05 03 37.0,+01 34 22,4739,7233,-2494
450008,05 04 34.1,-17 05 15,6855,6739,116
24021,05 04 35.2,-55 31 27,6589,7125,-536
3242,05 04 46.7,+04 28 44,6034,8478,-2444
24016,05 05 07.5,-31 47 03,3962,4485,-523
24007,05 05 08.3,-18 59 14,7834,7297,537
24018,05 05 28.8,-20 56 17,9294,10443,-1149
3235,05 05 33.4,+67 00 33,3913,4718,-805
24033,05 06 37.1,-17 33 20,4473,4719,80
3248,05 07 06.6,+03 58 41,8922,6687,2235
24056,05 07 44.5,-19 37 25,9535,8798,737
24109,05 08 23.3,-73 08 18,8696,10156,-1460
24101,05 11 05.9,-18 25 40,3578,4538,-960
450026,05 11 07.7,-09 23 19,2676,2404,234
24102,05 11 11.4,-19 36 47,1981,2642,-661
3252,05 11 45.5,+67 29 18,6071,5174,896
450231,05 12 00.5,-09 07 58,17157,20566,-3409
450033,05 12 03.3,-15 41 17,1956,1868,120
24124,05 12 34.1,-39 51 35,4970,4600,370
24129,05 12 50.5,-41 38 01,9855,8378,1477
24128,05 13 16.2,-24 56 19,10090,10985,-895
24127,05 13 17.9,-22 13 32,9081,8331,750
3269,05 14 06.9,+06 31 14,8930,7758,1168
24135,05 14 08.2,-27 44 53,10462,10082,380
3259,05 14 16.1,+72 20 02,4896,3806,1090
24150,05 14 29.5,-62 09 41,4961,7395,-2431
150046,05 14 53.4,+05 24 44,8846,11350,-2504
3270,05 15 19.9,+06 28 24,8640,9503,-891
150059,05 15 36.0,+07 11 48,8910,7630,1280
150063,05 15 46.9,+06 46 36,8197,9769,-1474
24145,05 15 49.4,-23 28 30,10330,9545,785
24159,05 16 39.0,-37 05 58,1401,1643,-288
3275,05 16 46.3,+06 37 21,7967,7258,709
24177,05 17 08.0,-64 57 41,1369,1166,120
3279,05 17 09.8,+06 55 37,8400,9585,-1290
450046,05 17 42.5,-15 31 23,2844,3397,-553
3283,05 17 45.9,-01 11 13,4515,5347,-832
24169,05 17 57.8,-29 42 02,4536,4465,71
24397,05 18 49.7,-86 23 09,4717,4537,180
24175,05 18 52.9,-17 30 56,7034,7631,-597
3277,05 19 10.6,+65 28 11,5081,5256,-175
24209,05 19 16.8,-62 32 05,4967,4827,137
24207,05 19 18.7,-61 39 43,4959,6247,-1283
3253,05 19 41.7,+84 03 08,4077,4252,-175
24193,05 19 50.5,-20 58 00,8736,7625,1111
3289,05 20 06.0,+06 34 56,8886,5843,3083
150148,05 20 12.6,+05 50 18,8576,7783,793
3291,05 20 26.3,+06 34 13,4343,4080,263
3284,05 21 23.1,+72 42 05,4663,5124,-461
24216,05 21 48.4,-23 48 45,1788,2432,-644
24231,05 23 03.3,-17 57 44,12574,10691,1883
24239,05 23 36.7,-19 57 03,5038,5846,-808
450056,05 23 56.7,-17 15 40,3222,3185,75
24270,05 24 31.7,-61 21 54,5393,4011,953
24253,05 24 36.8,-28 32 51,9504,8023,1481
24273,05 25 47.4,-39 54 27,4596,4914,-268
24279,05 26 43.8,-19 12 39,8264,7204,1060
450061,05 28 01.9,-05 18 43,2571,3297,-726
24302,05 28 36.4,-41 29 28,4236,4224,12
24351,05 28 50.1,-76 28 11,9851,11025,-1174
24299,05 28 54.3,-20 56 14,8221,8900,-679
24309,05 28 56.7,-47 23 28,4321,2859,1460
24496,05 29 29.6,-85 55 39,4711,5299,-588
24311,05 29 53.4,-23 49 56,9078,8782,296
24336,05 30 28.1,-62 21 56,8368,6735,1633
24382,05 31 41.9,-73 44 59,4429,4345,84
24333,05 31 50.3,-23 08 40,1876,1460,320
24347,05 32 38.9,-29 37 38,10760,9697,1063
24354,05 33 21.3,-21 56 51,1710,1592,188
3319,05 34 14.7,+70 11 31,4181,7299,-3118
450071,05 34 56.6,-10 01 12,7083,6099,984
24395,05 34 58.9,-50 55 20,4594,4053,541
24399,05 35 03.7,-50 58 02,10368,8985,1383
24407,05 36 46.3,-22 24 20,4949,4909,40
24404,05 36 47.1,-18 36 18,2912,3438,-369
24419,05 37 11.4,-45 20 29,10894,10910,-16
24426,05 38 24.0,-28 11 27,10801,9342,1459
24429,05 38 34.2,-29 24 09,10887,14074,-3187
3326,05 39 37.2,+77 18 44,4065,5383,-1318
24439,05 39 40.9,-41 26 39,11767,11089,678
24437,05 39 41.3,-39 46 51,10800,6892,3908
450075,05 40 11.8,-22 00 10,9087,4687,4400
24452,05 41 19.6,-18 16 39,3335,4059,-724
24469,05 42 31.0,-26 47 21,12961,10151,2810
24485,05 42 35.0,-55 26 23,6828,7264,-436
24476,05 43 13.2,-18 38 23,2116,2157,-16
24486,05 43 52.3,-19 17 38,2795,2488,482
24487,05 43 52.5,-26 28 02,13212,11204,2008
450139,05 43 56.6,-25 52 33,11955,12370,-415
450140,05 44 37.3,-25 53 33,11783,6370,5413
3343,05 45 24.2,+72 21 20,1059,1033,73
450141,05 46 16.8,-25 16 13,12637,16182,-3545
24529,05 46 20.7,-23 28 25,8998,12343,-3345
24532,05 46 53.1,-18 43 39,3112,2857,113
24538,05 47 02.3,-34 15 05,994,940,54
24561,05 47 04.7,-51 33 06,1237,1235,15
24545,05 47 26.6,-25 06 17,11664,8515,3149
24554,05 47 37.5,-30 24 24,11262,11446,-184
450142,05 47 48.1,-25 33 20,10934,11066,-132
24564,05 48 02.8,-33 54 33,10893,8904,1989
450143,05 48 19.6,-25 38 06,12076,13739,-1663
24584,05 48 44.5,-39 03 18,7268,6858,410
24581,05 48 44.9,-36 44 12,7767,9094,-1327
24602,05 50 26.7,-19 43 37,2442,3338,-1197
24635,05 51 14.2,-53 34 19,4576,5449,-873
24623,05 51 18.9,-38 19 11,3179,3350,-171
24646,05 51 35.4,-59 02 21,3746,3585,161
24642,05 52 28.6,-28 22 09,8368,7392,976
24644,05 52 32.4,-36 57 53,7720,6151,1569
24640,05 52 36.3,-17 47 16,3187,2104,1083
24650,05 52 53.4,-34 43 37,10718,9263,1455
450098,05 53 00.5,-17 52 24,3199,3161,26
24652,05 53 33.0,-20 16 03,8547,6057,2490
24723,05 55 30.1,-76 55 15,4793,4074,719
24680,05 55 50.6,-22 48 24,3385,4477,-1092
24704,05 56 21.8,-62 35 37,8343,9375,-1032
450146,05 57 25.1,-39 31 09,14011,14232,-221
24702,05 57 52.3,-20 05 03,3046,3285,-339
24709,05 58 01.4,-38 34 29,10168,7314,2854
450147,05 59 03.1,-40 11 40,13095,12902,193
3373,05 59 07.9,+78 30 34,4727,4645,82
24741,06 00 18.3,-42 06 27,10473,10445,28
24730,06 00 23.7,-19 42 32,8398,9030,-632
24739,06 00 34.7,-28 59 34,1482,2158,-590
24747,06 01 07.8,-23 40 20,1926,2542,-599
24745,06 01 07.9,-21 44 19,1838,1683,155
24750,06 01 24.0,-26 03 18,12121,9398,2723
460089,06 02 01.6,-39 50 11,12882,15452,-2570
460001,06 02 42.6,-12 29 56,2302,1709,593
24781,06 04 03.7,-35 41 37,9850,8301,1549
24782,06 04 27.7,-20 21 05,2985,3631,-646
24789,06 04 42.9,-26 07 22,1897,1958,-82
24830,06 04 44.7,-73 24 05,4567,5226,-659
24802,06 05 09.9,-49 18 01,8737,6727,2010
24804,06 05 21.9,-45 49 32,9217,7914,1303
24805,06 05 27.5,-45 10 43,12789,11408,1381
24797,06 05 29.6,-19 02 06,8033,9482,-1449
24814,06 05 52.1,-53 35 58,10197,6677,3520
3398,06 06 23.3,+60 34 04,7048,6578,470
24846,06 06 45.5,-67 06 59,11386,11646,-260
24854,06 07 30.1,-61 48 25,1309,1607,-298
460093,06 07 34.1,-33 12 11,8517,9826,-1309
24839,06 07 41.0,-47 24 47,9160,9219,-59
24826,06 07 44.7,-23 29 16,2319,2005,314
24829,06 08 03.4,-19 13 30,6849,6551,298
24893,06 08 30.7,-71 17 14,10605,7809,2796
460090,06 08 45.3,-33 46 28,10970,10247,723
24847,06 08 53.3,-25 08 40,6005,3974,1964
460069,06 09 29.3,-33 37 38,11296,13267,-1757
460070,06 09 30.1,-33 33 07,10398,13928,-2418
24858,06 09 36.2,-20 06 18,6866,5496,1370
460071,06 09 38.6,-33 35 13,11248,7335,4175
460091,06 09 47.0,-33 52 22,11529,9242,2287
24866,06 10 01.9,-22 37 33,2886,3411,-525
460077,06 10 21.5,-33 41 26,9108,9955,1555
3403,06 10 36.4,+71 23 07,1250,1270,-20
24907,06 10 48.2,-60 49 20,8868,7975,893
3411,06 10 55.0,+62 01 11,6802,12218,-5416
24895,06 11 05.6,-33 18 02,11625,8689,2821
460095,06 12 05.2,-33 04 18,11129,9408,1721
24924,06 12 26.8,-56 16 10,10815,10927,-112
24931,06 12 31.0,-62 24 53,10642,7229,3413
460092,06 12 50.3,-34 15 04,8880,7366,1514
24928,06 13 27.7,-42 27 07,11769,10485,1284
3416,06 13 40.0,+69 43 45,3993,3396,664
24943,06 14 03.8,-42 51 22,9460,7445,2015
24957,06 14 57.1,-39 49 31,10469,9003,1466
24952,06 15 07.2,-19 25 01,5758,5701,57
3412,06 15 39.1,+79 42 32,3969,5777,-1800
24966,06 15 59.1,-26 45 53,6388,5720,668
24978,06 15 59.2,-54 48 54,10757,10911,-154
3432,06 16 13.8,+57 03 05,5012,4890,122
3413,06 17 01.0,+81 08 17,4187,3377,810
24981,06 17 05.2,-27 23 10,1815,2188,-373
24990,06 17 49.0,-21 03 37,2687,3950,-1263
25008,06 18 20.1,-66 01 01,8167,6764,1403
25016,06 20 43.8,-33 25 32,7392,7570,-178
25038,06 21 34.9,-44 42 31,4755,5228,-473
25044,06 21 38.7,-59 44 20,2315,2975,-660
25086,06 23 09.0,-68 43 58,4437,4470,-33
25053,06 23 43.9,-23 24 26,11916,9713,2203
25055,06 23 51.2,-23 11 39,7310,5755,1555
3439,06 23 54.4,+78 31 50,1485,1299,219
25073,06 24 39.0,-22 35 48,3015,4856,-1841
25088,06 25 36.8,-19 48 47,6712,6033,679
25099,06 25 52.4,-27 59 12,7181,8136,-955
25098,06 25 57.9,-22 00 18,2381,2282,99
25107,06 26 03.4,-36 36 31,11256,9687,1569
3463,06 26 55.7,+59 04 48,2703,2339,364
25130,06 27 03.2,-61 10 37,9873,9566,307
25149,06 29 12.9,-30 20 20,7579,7033,546
25162,06 30 57.6,-23 43 45,2972,2646,326
25200,06 31 02.1,-71 30 03,4374,4927,-553
3477,06 31 22.1,+50 05 36,6541,6299,242
25178,06 31 57.3,-26 46 08,1957,1719,238
25201,06 33 35.7,-34 15 40,7147,5713,1434
25199,06 33 42.9,-24 59 04,2800,2542,258
25207,06 33 58.7,-34 48 48,6968,5964,1004
25259,06 38 19.5,-51 57 01,1148,1296,-115
25256,06 38 45.1,-35 15 32,6823,4183,2640
25260,06 38 56.6,-36 41 09,9229,10602,-1373
25270,06 39 49.8,-38 14 42,5486,5544,-58
25299,06 40 40.5,-69 14 08,8925,8158,767
25301,06 42 49.7,-35 34 14,2060,2401,-341
25351,06 43 13.7,-72 35 51,5627,5982,-355
25306,06 43 29.4,-35 45 59,10226,9945,281
3511,06 43 41.6,+65 12 22,3581,4037,-456
25339,06 43 44.4,-66 51 40,7786,7036,750
25359,06 43 48.2,-73 40 29,6413,7143,-730
25331,06 45 23.3,-30 23 06,11350,11124,226
25345,06 45 41.4,-37 31 14,10160,12235,-2075
3539,06 48 54.1,+66 15 41,3327,4518,-1191
25409,06 49 31.2,-70 09 23,6357,6157,200
25397,06 51 10.4,-30 24 54,7538,8527,-989
25419,06 53 02.5,-39 16 09,2054,1968,86
3574,06 53 10.3,+57 10 40,1487,1377,92
25422,06 53 11.9,-39 35 03,10865,8652,2213
25418,06 53 17.2,-28 37 10,6925,4893,2032
25427,06 53 17.8,-59 10 37,8621,7448,1173
3540,06 54 35.8,+82 28 44,1918,2091,-173
3521,06 55 00.8,+84 02 31,4398,4863,-473
25434,06 55 05.9,-38 04 18,5974,5013,961
3593,06 55 14.3,+40 57 38,6792,6388,404
25447,06 55 56.8,-36 27 51,9513,6015,3498
3528,06 56 11.1,+84 04 44,4399,3754,636
3581,06 59 03.2,+80 00 13,4948,5315,-367
470027,07 03 26.7,-48 59 40,12574,19332,-6471
3652,07 03 51.1,+22 22 09,4678,4264,414
470034,07 03 55.1,-49 03 39,13788,11579,1282
470035,07 03 57.1,-49 04 11,12305,12359,502
25507,07 04 05.1,-41 52 50,5353,6318,-965
25518,07 04 39.6,-65 43 38,9735,9982,-247
25514,07 05 11.5,-47 10 26,9632,6754,2878
25517,07 05 53.9,-37 52 27,10826,7257,3569
470047,07 06 50.9,-49 04 07,11959,9547,3314
25525,07 07 04.5,-49 10 34,13113,13590,-729
25530,07 07 22.9,-58 23 35,8257,7655,602
3693,07 08 20.6,+18 46 47,2408,2896,-488
470050,07 08 23.0,-49 26 20,13322,22440,-9579
3694,07 08 36.7,+32 40 53,4897,7159,-2262
470051,07 08 47.1,-49 17 27,22039,21814,225
170437,07 08 51.1,+48 41 20,18989,17213,1776
470056,07 10 08.5,-49 24 32,13137,12930,-69
470058,07 10 19.8,-49 33 38,12718,6975,5886
3675,07 10 24.3,+74 53 31,3798,4761,-891
170468,07 12 15.3,+48 49 28,12502,11877,625
3736,07 12 20.0,+23 22 49,10025,8650,1375
3717,07 13 14.7,+73 50 36,4194,3990,204
25575,07 13 25.2,-68 21 32,7340,5837,1503
25580,07 13 43.9,-69 47 47,9400,8751,649
25605,07 14 17.5,-74 44 15,4422,3355,1067
3653,07 14 19.3,+84 22 56,2199,2322,-123
3763,07 14 59.0,+34 48 52,7290,8044,-754
25584,07 15 23.7,-55 04 34,2972,2948,24
3749,07 15 53.9,+67 58 57,1182,2151,-1045
25597,07 15 54.2,-57 20 35,1234,916,318
25614,07 16 00.2,-70 33 44,10285,9863,422
3759,07 16 04.1,+64 42 40,4464,6221,-1757
3774,07 16 13.9,+32 56 15,7375,6047,1328
170343,07 16 35.3,+32 57 15,7444,7649,-205
3776,07 16 38.8,+33 59 17,4014,3226,918
3777,07 16 42.8,+29 51 18,3355,2494,861
3764,07 16 53.0,+67 06 39,4149,3471,678
3780,07 17 28.5,+34 04 41,4092,5063,-919
3779,07 17 31.9,+33 58 30,3981,4725,-768
3782,07 17 41.0,+23 21 21,2432,2850,-407
25617,07 17 41.4,-55 58 31,8883,6629,2254
3783,07 17 53.5,+24 45 24,6336,7598,-1262
3791,07 18 32.0,+27 09 30,5229,6534,-1305
25633,07 18 43.8,-62 56 06,3276,4276,-953
25636,07 19 08.8,-58 50 31,9328,7867,1461
25653,07 20 34.0,-67 42 39,3723,3131,597
25645,07 20 53.6,-58 13 02,9339,8387,952
25661,07 21 19.9,-69 00 06,1476,2003,-482
3820,07 22 19.8,+17 17 13,2705,3610,-905
3821,07 22 22.6,+22 04 58,2436,2327,116
3804,07 22 34.6,+71 35 56,2887,3088,-201
25672,07 22 51.2,-62 01 40,3355,3859,-536
3827,07 23 07.4,+22 12 28,5538,4207,1331
3822,07 23 12.8,+37 27 33,7245,7848,-625
3828,07 24 35.9,+57 58 04,3577,2464,1113
3835,07 25 01.7,+23 46 58,5665,5960,-295
25688,07 25 06.9,-63 32 02,10673,10752,-79
3843,07 25 43.8,+20 06 08,5451,5197,254
25751,07 26 23.4,-84 30 25,4719,5075,-127
3848,07 26 36.9,+33 49 25,7929,4075,3854
3856,07 26 57.0,+20 22 14,8680,4561,4119
3854,07 27 09.5,+33 49 55,8003,5314,2689
3862,07 27 47.8,+20 23 54,8327,8597,-270
25709,07 27 53.9,-67 34 26,3732,3672,56
3870,07 28 53.4,+33 49 08,4261,4132,12
3873,07 28 54.0,+20 35 29,4644,4509,135
