# Homogeneous Kinematic Potential Catalog for SH0ES Host Galaxies
#
# Compatibility note: the filename and sigma_kms column are retained because
# historical pipeline steps consume them. sigma_kms is NOT a measured central
# stellar velocity dispersion. It is the declared potential-equivalent scale
# u_phi = V_rot / sqrt(2), computed from HyperLEDA's inclination-corrected
# maximum rotation velocity. The source V_rot and catalog uncertainty are
# preserved in adjacent columns.
#
# Query: http://atlas.obs-hp.fr/hyperleda/ledacat.cgi, fields vrot,e_vrot.
# Archive date: 2026-08-21. Reference: Makarov et al. 2014, A&A 570, A13.
# Rows 1-37 are the complete R22 SN-host set; final rows are ladder anchors.
# M1337 is Mrk 1337 (PGC 43690, SN 2006D), not NGC 1337.
galaxy,pgc,vrot_kms,vrot_error_kms,sigma_kms,error_kms,source_bibcode,source_url,method,notes,traceability_confidence,date_accessed
NGC 5728,52521,224.4,8.0,158.674762,5.656854,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 52521: vrot=224.4 +/- 8.0 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 5861,54097,158.5,2.2,112.076425,1.555635,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 54097: vrot=158.5 +/- 2.2 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 5917,54809,92.6,5.2,65.478088,3.676955,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 54809: vrot=92.6 +/- 5.2 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 7250,68535,71.1,3.7,50.275292,2.616295,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 68535: vrot=71.1 +/- 3.7 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 7329,69453,250.9,4.1,177.413091,2.899138,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 69453: vrot=250.9 +/- 4.1 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 7541,70795,207.8,4.3,146.936789,3.040559,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 70795: vrot=207.8 +/- 4.3 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 7678,71534,200.8,4.6,141.987042,3.252691,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 71534: vrot=200.8 +/- 4.6 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 976,9776,405.0,15.9,286.378246,11.242998,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 9776: vrot=405.0 +/- 15.9 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
UGC 9391,52091,75.7,2.8,53.527983,1.979899,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 52091: vrot=75.7 +/- 2.8 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
NGC 4258,39600,212.9,5.2,150.543034,3.676955,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 39600: vrot=212.9 +/- 5.2 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
M 31,2557,256.7,6.1,181.514311,4.313351,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 2557: vrot=256.7 +/- 6.1 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
LMC,17223,46.6,5.3,32.951176,3.747666,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 17223: vrot=46.6 +/- 5.3 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
SMC,3085,43.4,4.7,30.688434,3.323402,2014A&A...570A..13M,https://atlas.obs-hp.fr/hyperleda/,HyperLEDA rotation potential proxy,"HyperLEDA PGC 3085: vrot=43.4 +/- 4.7 km/s; u_phi=vrot/sqrt(2).",CATALOG_DERIVED,2026-08-21
