6dFGS,RAJ2000,DEJ2000,czgal,czgr,log(Dz/DH),e_log(Dz/DH)
g0035508-594138,8.9619,-59.6938,9998,,0.1443,0.0945
g0035582-422946,8.99265,-42.4962,14167,,0.0956,0.0975
g0036052-034014,9.0219,-3.6706,15159,,0.1144,0.1342
g0036126-121530,9.0525,-12.2584,6359,,-0.0408,0.1011
g0036293-004343,9.1218,-0.7286,9909,,-0.0329,0.1193
g0037011-214725,9.2544,-21.7901,15527,,-0.0616,0.1492
g0037215-195603,9.33975,-19.9342,3590,,-0.016,0.1026
g0037253-014112,9.35565,-1.6867,15667,,-0.0102,0.1132
g0037424-141047,9.42645,-14.1796,15718,,0.1113,0.101
g0037463-175058,9.4428,-17.8495,5653,,-0.0463,0.0924
g0037588-340346,9.49485,-34.0628,16050,,0.0122,0.1225
g0038034-144217,9.51405,-14.7046,15539,,0.0719,0.1093
g0038162-170319,9.5676,-17.0551,15785,,-0.016,0.1058
g0038350-440434,9.6459,-44.076,13426,,-0.0431,0.1398
g0038413-771817,9.67215,-77.3046,13280,,0.1275,0.1148
g0038498-030229,9.7077,-3.0414,15040,,-0.1571,0.1177
g0039016-160615,9.75675,-16.1043,5620,,-0.1859,0.1052
g0039125-004510,9.80205,-0.7527,13388,,-0.003,0.1069
g0039141-530711,9.80895,-53.1196,8165,,-0.0108,0.1249
g0039338-022130,9.89085,-2.3584,15699,,0.011,0.1142
g0039451-560356,9.93795,-56.0655,8541,8219,-0.0015,0.1007
g0039496-162134,9.9567,-16.3593,8319,,-0.1076,0.0991
g0040042-561050,10.0176,-56.1805,8302,8219,-0.0393,0.0972
g0040148-152815,10.06155,-15.4707,15992,,0.1376,0.1333
g0040345-013119,10.14375,-1.522,13511,,-0.1863,0.1287
g0040417-813400,10.1736,-81.5667,13725,,-0.0734,0.1387
g0040439-850228,10.1829,-85.0412,12996,,-0.3929,0.1396
g0040460-062406,10.1916,-6.4018,16035,,-0.1298,0.1286
g0040465-085005,10.1937,-8.8348,15829,,-0.0976,0.135
g0040489-561251,10.2036,-56.2141,8002,8219,0.1079,0.0938
g0040598-601545,10.2492,-60.2626,10033,,-0.1048,0.1248
g0041004-555621,10.2516,-55.9392,8421,8219,0.0264,0.1062
g0041058-152541,10.2744,-15.4281,16082,,0.1537,0.1258
g0041065-370149,10.2771,-37.0301,10158,10144,-0.0779,0.1092
g0041212-440955,10.33845,-44.1654,8721,,-0.0079,0.1487
g0041334-142148,10.38915,-14.3633,15600,,-0.1796,0.1414
g0041398-421916,10.416,-42.321,5745,,0.0395,0.0917
g0041485-014419,10.45185,-1.7387,5207,,0.0654,0.1005
g0041533-104958,10.4721,-10.8327,15593,,0.0884,0.102
g0042046-420959,10.5189,-42.1663,15967,,-0.0896,0.1049
g0042148-112817,10.56165,-11.4714,5552,,0.006,0.1123
g0042166-503033,10.569,-50.5093,8483,8478,-0.0171,0.0962
g0042223-133625,10.59285,-13.607,15929,,-0.1508,0.1357
g0042368-013144,10.65345,-1.5288,5088,,0.0211,0.0918
g0042476-034945,10.69845,-3.8292,5510,,-0.1175,0.1294
g0043081-462154,10.7838,-46.3651,14458,,-0.0023,0.1163
g0043083-110739,10.7847,-11.1276,10678,10759,-0.1846,0.1149
g0043241-111522,10.8504,-11.256,10828,10759,-0.0127,0.1497
g0043285-062056,10.86855,-6.3488,5514,,0.2291,0.1025
g0043334-040704,10.88895,-4.1178,5451,,0.0276,0.1052
g0043554-452920,10.98075,-45.4888,15474,,0.0896,0.1107
g0043596-111821,10.99815,-11.3057,10829,10759,-0.12,0.1126
g0043597-763527,10.99875,-76.5909,10518,,0.2537,0.1036
g0044201-065937,11.0835,-6.9937,15948,,0.1038,0.1437
g0044230-025040,11.09595,-2.8446,15973,,-0.0739,0.1299
g0044238-684735,11.09925,-68.7932,10502,,-0.1442,0.1714
g0044281-475036,11.1171,-47.8433,9669,,0.0114,0.0984
g0044313-030101,11.13045,-3.017,15883,,0.235,0.0945
g0044321-485051,11.1339,-48.8476,15101,,0.0052,0.1624
g0044377-484941,11.15685,-48.8281,14531,,0.0306,0.1109
g0044436-235118,11.1816,-23.8549,15508,,0.0443,0.1733
g0045114-171611,11.29755,-17.2696,8204,,-0.1364,0.1113
g0045213-253712,11.3388,-25.6199,6850,,-0.3432,0.19
g0045240-123210,11.3502,-12.5361,8194,,-0.1541,0.1129
g0045344-201949,11.3934,-20.3303,13849,,0.0459,0.13
g0045518-495107,11.46585,-49.852,14626,,0.1754,0.1035
g0046047-481248,11.5194,-48.2132,14618,14676,-0.0732,0.1032
g0046247-420831,11.6028,-42.1418,15999,,-0.016,0.1271
g0046345-484317,11.6436,-48.7214,14741,,-0.056,0.1158
g0046368-141855,11.65335,-14.3154,15483,,-0.079,0.1136
g0046403-520638,11.6679,-52.1106,8013,,-0.026,0.1159
g0046489-063152,11.7039,-6.531,5486,,-0.0312,0.0934
g0047069-024353,11.7786,-2.7313,6771,,-0.0643,0.1213
g0047139-481603,11.80785,-48.2676,15009,14676,-0.1242,0.1453
g0047464-095006,11.94345,-9.835,5402,5657,0.0943,0.096
g0047475-123729,11.9481,-12.6246,16050,,0.0201,0.1199
g0047518-481354,11.9658,-48.2317,14739,14676,0.1079,0.1453
g0048051-013357,12.02115,-1.5658,5211,,0.1048,0.0935
g0048179-645426,12.0747,-64.9073,11500,,0.0258,0.1003
g0049148-475038,12.31155,-47.8439,14498,,0.0392,0.143
g0049328-041251,12.38655,-4.2141,15708,15758,-0.0405,0.1069
g0049357-025425,12.39885,-2.9068,15616,,-0.1176,0.1245
g0049365-472503,12.402,-47.4174,9520,,-0.0698,0.1234
g0049472-613913,12.44685,-61.6536,10253,,-0.0652,0.0993
g0049599-035956,12.4995,-3.9988,15438,,-0.1291,0.1391
g0050004-053918,12.5016,-5.6549,15800,,-0.1192,0.1253
g0050009-144057,12.50385,-14.6824,15696,,0.1183,0.0942
g0050083-042259,12.53445,-4.3832,15948,15758,0.0204,0.1165
g0050275-055131,12.6147,-5.8585,5368,,-0.0306,0.093
g0050325-083906,12.63555,-8.6516,3483,,0.0949,0.102
g0050419-521312,12.6744,-52.2199,7595,,0.0434,0.0983
g0050485-065309,12.70185,-6.8857,4350,,0.0078,0.0943
g0050527-552925,12.7197,-55.4902,6863,,-0.0157,0.1083
g0051019-070325,12.7578,-7.0569,1352,,-0.1871,0.1266
g0051044-000804,12.76815,-0.1345,13036,,-0.1367,0.1147
g0051092-460634,12.78855,-46.1094,9754,,0.1892,0.1129
g0051093-463757,12.78885,-46.6324,15992,,0.0656,0.1231
g0051538-030251,12.9741,-3.0475,13310,,-0.048,0.1115
g0052217-032041,13.0905,-3.3446,15319,,-0.0428,0.1261
g0052282-015845,13.1175,-1.9791,13609,13307,0.0154,0.1181
g0052507-031349,13.21125,-3.2304,13700,,-0.0515,0.1234
g0053145-033722,13.3104,-3.6227,15350,15199,0.1936,0.1094
g0053154-033306,13.314,-3.5516,15020,15199,0.0947,0.1602
g0053190-035633,13.32915,-3.9424,13342,,-0.0031,0.125
g0053201-011753,13.3338,-1.2979,12859,12910,0.005,0.1106
g0053215-025122,13.3398,-2.8561,12531,12494,0.0503,0.1019
g0053294-004038,13.3725,-0.6772,12798,,-0.2481,0.1522
g0053304-130646,13.3764,-13.1128,10509,10912,0.1642,0.1123
g0053364-291429,13.40175,-29.2412,11004,,0.0174,0.1343
g0053414-015549,13.4223,-1.9302,13400,13307,0.0288,0.1256
g0053451-030701,13.43805,-3.1169,12262,12494,-0.052,0.151
g0053482-435901,13.4508,-43.9837,15831,,0.0828,0.118
g0053502-030822,13.4589,-3.1393,12472,12494,-0.0504,0.1142
g0054036-473156,13.51515,-47.5322,9492,8753,-0.0723,0.0984
g0054056-463660,13.5234,-46.6166,8558,,-0.045,0.0964
g0054060-060249,13.5249,-6.047,14124,,-0.0862,0.1202
g0054122-012542,13.5507,-1.4284,12800,12910,0.0784,0.1468
g0054122-192751,13.551,-19.4642,8965,,0.0313,0.1091
g0054158-142812,13.5657,-14.4699,10872,,-0.1614,0.1419
g0054159-011422,13.5663,-1.2394,13159,12910,-0.1031,0.1115
g0054184-615334,13.5768,-61.8929,8188,,0.1904,0.0904
g0054194-071613,13.58085,-7.2703,15235,15093,-0.0134,0.1448
g0054238-655141,13.5993,-65.8614,11687,,-0.0107,0.1015
g0054289-655122,13.6203,-65.8561,11717,,-0.0677,0.1106
g0054304-155003,13.62645,-15.8341,15882,,-0.0293,0.1233
g0054367-355106,13.653,-35.8517,13338,,0.1928,0.0966
g0054589-072059,13.74555,-7.3497,14906,15093,-0.0462,0.1257
g0055169-005504,13.82025,-0.9179,12889,12910,0.0391,0.1084
g0055290-091734,13.8708,-9.2928,16079,,-0.1234,0.1167
g0055357-601808,13.8987,-60.3021,8119,,0.0066,0.1017
g0055368-634411,13.9032,-63.7363,9607,,0.006,0.1213
g0055382-013447,13.9092,-1.5796,14360,12910,-0.1504,0.1203
g0055545-742236,13.9773,-74.3766,10327,,-0.1657,0.111
g0056039-140338,14.01645,-14.0606,11142,,0.0274,0.1507
g0056107-010701,14.0445,-1.1169,12231,12910,-0.0785,0.1053
