6dFGS,RAJ2000,DEJ2000,czgal,czgr,log(Dz/DH),e_log(Dz/DH)
g0938405-353407,144.66886,-35.5686,13252,,0.0486,0.1058
g0938407-195346,144.66976,-19.896,10526,10396,0.0507,0.1148
g0938482-192044,144.70066,-19.3455,14844,,-0.0563,0.158
g0938531-252728,144.72136,-25.4577,13036,,-0.004,0.1147
g0938547-073646,144.72795,-7.6128,15571,,0.2131,0.134
g0939015-092726,144.756,-9.4573,5198,,0.146,0.1233
g0939050-363920,144.77069,-36.6557,12740,,0.2092,0.1339
g0939235-343647,144.84796,-34.613,13255,,0.0864,0.1236
g0939298-345113,144.87405,-34.8536,13045,,0.07,0.1244
g0939481-043304,144.95025,-4.5512,9605,,0.1326,0.1077
g0940286-065646,145.11915,-6.9461,5289,,0.0211,0.1035
g0940371-340748,145.15454,-34.1299,10199,,0.0546,0.1292
g0940451-052607,145.188,-5.4354,6878,,0.0614,0.1073
g0940490-162858,145.2042,-16.4829,14309,,-0.1071,0.1476
g0940538-360132,145.22415,-36.0255,13042,,0.0127,0.1156
g0941543-714733,145.47599,-71.7926,11781,,0.068,0.1222
g0942302-110134,145.62585,-11.0261,10896,,-0.0204,0.1267
g0942501-262809,145.70879,-26.4692,15764,,0.0711,0.1261
g0942520-285643,145.71661,-28.9452,11412,11628,0.0346,0.1147
g0942531-284946,145.7211,-28.8294,11622,11628,0.0521,0.0982
g0942541-154904,145.7253,-15.8178,10383,,0.1222,0.0962
g0943360-203357,145.8999,-20.5658,15894,,0.1784,0.1304
g0944012-141511,146.0052,-14.2531,10175,,0.1275,0.1079
g0944123-224506,146.05124,-22.7515,11605,,-0.0375,0.1081
g0944130-285056,146.05425,-28.8489,2809,2816,-0.12,0.1007
g0944160-211641,146.06669,-21.2781,2643,,0.0099,0.1
g0944459-715759,146.19121,-71.9665,6624,,0.072,0.1102
g0944519-381024,146.2164,-38.1733,13248,,0.1283,0.1039
g0944520-122927,146.21655,-12.4907,14494,14380,0.0353,0.1206
g0945207-144456,146.3361,-14.7489,10236,,-0.0258,0.1026
g0946224-153415,146.59319,-15.5707,10026,,-0.0003,0.1006
g0946246-125606,146.60265,-12.9349,14494,,0.2657,0.1287
g0946302-213418,146.62575,-21.5716,9089,,0.2042,0.0935
g0946358-233504,146.6493,-23.5843,11575,,-0.016,0.1039
g0946394-060919,146.664,-6.1553,15845,,-0.2642,0.1215
g0947027-055258,146.76105,-5.8828,16055,,0.0924,0.1169
g0947453-340414,146.93851,-34.0705,14730,,0.0461,0.1241
g0947475-132450,146.9478,-13.4137,10238,,0.0798,0.0987
g0948060-141557,147.02505,-14.2659,9878,,0.0649,0.1168
g0949020-070817,147.25815,-7.1379,4664,,0.109,0.108
g0949079-144143,147.2829,-14.6953,9938,,-0.1614,0.1236
g0949313-140347,147.38025,-14.0632,12727,,-0.0599,0.1379
g0949324-140647,147.3849,-14.1131,12907,,0.0767,0.0962
g0949333-680055,147.38864,-68.0154,4848,,0.026,0.1025
g0949471-051522,147.44609,-5.256,6313,6593,-0.2652,0.141
g0949516-135717,147.46515,-13.9547,14706,,0.074,0.1016
g0949564-001353,147.48495,-0.2313,11347,,0.1155,0.096
g0950085-050626,147.53534,-5.1071,6134,6593,-0.0165,0.1035
g0950180-144854,147.57495,-14.815,12487,,0.0514,0.1186
g0950248-215146,147.60331,-21.8629,8941,,0.0496,0.1271
g0950318-211901,147.63255,-21.3169,8852,,-0.0172,0.1418
g0951036-162613,147.76515,-16.4368,11916,,-0.0563,0.1279
g0951043-160543,147.768,-16.0954,9548,9758,0.0238,0.0942
g0951162-063805,147.81735,-6.6348,6404,,-0.1748,0.117
g0951269-031943,147.8619,-3.3286,11590,,-0.0042,0.1236
g0952044-045948,148.0185,-4.9967,6584,6593,0.0133,0.0979
g0952048-160810,148.01984,-16.1362,9459,9758,-0.0073,0.0969
g0952151-094402,148.06274,-9.7339,6015,6088,-0.0676,0.1429
g0952206-155521,148.08585,-15.9226,9219,9758,-0.0143,0.1108
g0952261-192921,148.10881,-19.4892,9245,,-0.0663,0.1225
g0952276-022439,148.1151,-2.4109,11620,,0.0471,0.0999
g0952330-215318,148.1376,-21.8882,8762,,0.0456,0.1019
g0952375-073714,148.1562,-7.6205,5206,,0.0404,0.0947
g0952547-155207,148.22775,-15.8685,9699,9758,-0.1746,0.121
g0953031-160217,148.263,-16.0381,9699,9758,0.0699,0.0923
g0953135-154841,148.30635,-15.8113,11018,,0.1626,0.1229
g0953144-155841,148.31009,-15.9779,9909,9758,-0.0027,0.0972
g0953225-160145,148.34385,-16.0291,9459,9758,0.0262,0.111
g0953243-054831,148.35105,-5.8085,15969,,-0.0185,0.1261
g0953280-160359,148.3668,-16.0664,10089,9758,-0.0732,0.1267
g0953318-061317,148.38241,-6.2215,6495,,-0.0386,0.1095
g0953480-144121,148.45006,-14.6893,9611,,0.0217,0.0961
g0953538-155111,148.47404,-15.853,10119,9758,0.0828,0.1023
g0953552-175421,148.48005,-17.9057,5291,,-0.2346,0.129
g0954135-140709,148.55626,-14.1191,9551,,0.0284,0.0926
g0954295-011717,148.62285,-1.2881,6254,,-0.0444,0.1123
g0954305-153420,148.62689,-15.5723,9550,9758,-0.0561,0.1233
g0954453-130138,148.68869,-13.0273,12760,,-0.0773,0.1908
g0954590-340344,148.746,-34.0621,9247,9110,-0.1143,0.1067
g0955016-184353,148.75666,-18.7314,9367,,-0.087,0.118
g0955071-160407,148.77975,-16.0687,9820,9758,0.0855,0.1483
g0955196-143755,148.83164,-14.6321,9881,9817,0.1186,0.1198
g0955236-125437,148.84845,-12.9102,9763,9994,0.016,0.1082
g0955271-134751,148.86284,-13.7976,9702,9841,-0.0071,0.0978
g0955374-080538,148.9056,-8.094,14471,,0.0446,0.1054
g0955381-152960,148.90875,-15.4999,10001,9758,-0.0273,0.114
g0955535-032401,148.97281,-3.4002,14980,,0.0625,0.1423
g0955567-134514,148.98615,-13.754,9672,9841,-0.0096,0.1119
g0956000-154516,149.0001,-15.7544,12009,,-0.0511,0.1663
g0956138-125800,149.05769,-12.9668,10003,9994,0.0531,0.109
g0956208-143422,149.08665,-14.5727,9852,9817,0.0554,0.1017
g0956297-162227,149.12355,-16.3741,15936,,0.084,0.1282
g0956308-155905,149.12835,-15.9846,15157,,-0.1776,0.1214
g0956357-155826,149.1486,-15.9738,14977,,-0.0138,0.1118
g0956412-134128,149.17155,-13.6912,9763,9841,0.1954,0.1076
g0956479-071047,149.1996,-7.1796,6317,,0.16,0.0972
g0956582-151042,149.24264,-15.1784,15248,,0.1293,0.1272
g0957121-341437,149.30039,-34.2436,9277,,-0.0308,0.1081
g0957132-031008,149.3049,-3.1688,14921,,-0.0194,0.1727
g0957193-022458,149.33041,-2.4161,14651,,-0.004,0.1287
g0957239-192118,149.3496,-19.355,3792,3995,0.0742,0.0994
g0957415-215607,149.42295,-21.9353,8555,8569,0.2556,0.0967
g0957441-061417,149.4339,-6.2381,12853,,-0.0706,0.1352
g0957485-133535,149.4522,-13.5929,9913,9841,0.0848,0.0928
g0957555-170604,149.48145,-17.1012,15247,,-0.2304,0.1315
g0958002-830710,149.50079,-83.1195,12018,,-0.0291,0.1297
g0958119-151155,149.5494,-15.1987,9912,,0.0326,0.1115
g0958150-213718,149.56245,-21.6216,8526,8569,0.105,0.0954
g0958170-162028,149.571,-16.3411,15997,,0.0939,0.1053
g0958178-013953,149.57415,-1.6646,14471,,0.0741,0.1286
g0958403-381507,149.66775,-38.252,13313,,-0.074,0.1765
g0958416-041951,149.67346,-4.3309,15222,,0.1942,0.1224
g0958531-302128,149.72115,-30.3577,3113,3096,0.0216,0.0968
g0958567-184907,149.7363,-18.8185,12607,,0.0148,0.1252
g0959001-343050,149.75055,-34.5139,9397,,0.0115,0.0943
g0959055-134009,149.77275,-13.6691,4518,,0.0389,0.1019
g0959087-341331,149.7861,-34.2252,2893,,0.0623,0.0987
g0959300-122018,149.8749,-12.3383,12523,,0.2179,0.1026
g0959401-204715,149.9172,-20.7875,4181,,0.0018,0.0955
g0959497-025239,149.95696,-2.8774,6708,6600,0.0533,0.0938
g0959594-011531,149.9973,-1.2587,12373,,-0.0575,0.1095
g1000023-010344,150.0096,-1.0623,14201,,0.2683,0.1201
g1000034-400007,150.0141,-40.0019,6953,7023,-0.0131,0.1114
g1000045-121402,150.0186,-12.2339,12523,,0.1117,0.0954
g1000103-193719,150.0429,-19.6218,4392,3995,-0.0277,0.0932
g1000105-310656,150.0438,-31.1154,11805,11685,-0.0247,0.0974
g1000110-025834,150.04575,-2.9762,6948,6600,0.0931,0.104
g1000237-393946,150.09885,-39.6627,7104,7023,-0.0891,0.1077
g1000243-145036,150.10109,-14.8434,15250,,0.0294,0.1026
g1000270-025650,150.11235,-2.9472,6948,6600,-0.1509,0.1087
g1000306-075308,150.12734,-7.8856,10726,10545,0.2389,0.0953
g1000307-020941,150.12794,-2.1613,6408,,0.0113,0.1052
g1000330-380841,150.1374,-38.1447,12805,,-0.1019,0.1088
g1000387-074154,150.16125,-7.6984,10546,10545,0.0096,0.1068
g1000440-381155,150.18331,-38.1986,12835,,-0.0177,0.1136
g1000474-030045,150.1977,-3.0124,6348,6600,-0.0309,0.1058
g1001020-152148,150.25845,-15.3632,15190,,0.0962,0.1104
g1001169-180237,150.32041,-18.0435,15067,,-0.1458,0.1136
g1001192-403656,150.33015,-40.6154,6831,,-0.1109,0.103
g1001384-063319,150.4101,-6.5552,5270,,0.1019,0.097
g1001518-712848,150.46575,-71.48,7949,,0.1341,0.132
g1001529-000731,150.47055,-0.1252,10184,,-0.0315,0.1228
g1002058-151754,150.5241,-15.2984,9764,9585,-0.0832,0.1024
g1002077-060457,150.53205,-6.0824,10367,,-0.0649,0.116
g1002463-153200,150.69285,-15.5334,9824,9585,-0.0514,0.135
g1002496-154913,150.7065,-15.8203,10124,9585,0.0987,0.1216
g1003029-090446,150.76215,-9.0794,14625,,0.0463,0.118
g1003031-115757,150.76291,-11.9659,14683,,0.1116,0.1059
g1003040-151000,150.7665,-15.1667,9375,9585,0.1295,0.11
g1003040-372550,150.7665,-37.4305,7352,,0.0382,0.0945
g1003071-152834,150.77954,-15.4761,8985,9585,0.001,0.0946
g1003105-151119,150.79395,-15.1887,9285,9585,-0.0347,0.1798
g1003201-074819,150.8337,-7.8054,13366,,-0.1072,0.1182
g1003250-155760,150.85424,-15.9666,9944,9585,-0.0149,0.1184
g1003252-821225,150.85515,-82.2069,12624,,0.0193,0.1151
g1003287-153005,150.86939,-15.5013,10004,9585,-0.0413,0.1065
g1003324-152760,150.885,-15.4666,9825,9585,-0.113,0.1056
g1003348-155801,150.89506,-15.9668,9824,9585,-0.0231,0.1123
g1003540-145044,150.97485,-14.8455,9436,9585,-0.2067,0.1121
g1004081-393104,151.03395,-39.5179,9564,9576,-0.3303,0.1416
g1004170-150535,151.07085,-15.093,15282,,-0.1293,0.128
g1004239-054044,151.09965,-5.6788,10398,,0.109,0.0981
g1004263-375258,151.1094,-37.8828,12537,,0.05,0.1566
g1004344-142156,151.14315,-14.3656,9136,,-0.0575,0.1294
g1004368-161536,151.15335,-16.2599,9914,,0.0301,0.0991
g1004385-092023,151.1604,-9.3398,14415,,0.1521,0.1096
g1005121-063758,151.30035,-6.6326,5182,5256,-0.0736,0.1039
g1005128-130639,151.3035,-13.1108,14504,,0.0909,0.1192
g1005254-421453,151.35585,-42.248,8836,,0.0452,0.1348
g1005321-685256,151.38391,-68.8822,8354,,-0.0903,0.1098
g1006100-394437,151.54155,-39.7436,9474,9576,0.1365,0.0919
g1006158-392750,151.56569,-39.4639,9475,9576,-0.0676,0.1406
g1006290-062221,151.62106,-6.3726,12887,,0.1131,0.1076
g1006331-112552,151.63785,-11.431,14625,,-0.2237,0.1656
g1006345-220460,151.64384,-22.0832,15874,,0.0291,0.1302
g1006347-194716,151.64444,-19.7876,14258,,-0.0825,0.1194
g1006370-045324,151.65404,-4.8901,15945,,-0.1053,0.1455
g1006415-410706,151.67295,-41.1182,3054,,0.1288,0.1086
g1006432-071155,151.67985,-7.1987,15466,,-0.237,0.1352
g1006521-141805,151.71704,-14.3013,14444,,-0.0071,0.125
g1006535-154302,151.72289,-15.7173,9166,,0.0396,0.0942
g1006593-093726,151.7469,-9.6239,12887,,0.0263,0.1079
g1007005-141610,151.75215,-14.2695,14264,,-0.0071,0.1375
g1007261-165141,151.85865,-16.8614,14232,,-0.0252,0.1237
g1007378-135233,151.9077,-13.8758,15644,,-0.3325,0.142
g1007380-160453,151.90845,-16.0815,14203,,-0.0309,0.1238
g1008088-153544,152.03655,-15.5955,15942,,0.1375,0.1362
g1008187-201008,152.0778,-20.1689,8502,,0.1026,0.0934
g1008276-145232,152.115,-14.8756,14564,,0.1556,0.1085
g1008282-130803,152.11726,-13.1341,15705,,-0.0933,0.151
g1008334-131022,152.1393,-13.1729,15645,,0.2103,0.1384
g1008401-400537,152.1669,-40.0935,5337,5746,0.1724,0.1121
g1008504-042760,152.2101,-4.4666,15736,,0.1357,0.1297
g1008520-124420,152.21641,-12.7388,15555,,-0.1114,0.1384
g1008582-105423,152.2425,-10.9064,14417,,0.1816,0.1393
g1009033-111360,152.26366,-11.2332,3864,,0.1911,0.0992
g1009120-424055,152.29995,-42.682,10184,,-0.0157,0.1087
g1009199-163912,152.33281,-16.6534,8867,,0.0595,0.1018
g1009278-163741,152.36595,-16.6282,8807,,0.0319,0.0993
g1009440-390450,152.43316,-39.0805,9537,,-0.2958,0.1812
g1009448-434653,152.4366,-43.7815,10270,,-0.049,0.1036
g1009486-403352,152.45265,-40.5643,5575,5746,-0.0544,0.1237
g1009588-071717,152.4951,-7.2881,7793,,-0.0884,0.1125
g1010052-114641,152.52181,-11.7781,9590,,0.0126,0.1003
g1010085-023353,152.5356,-2.5647,13098,,-0.0134,0.1256
g1010126-055731,152.5527,-5.9585,15257,,-0.1006,0.108
g1010387-411617,152.66145,-41.2713,9770,,0.0653,0.1329
g1010411-202105,152.67105,-20.3513,9732,,0.0314,0.1569
g1010456-204344,152.68995,-20.729,9672,,-0.1114,0.1279
g1010461-345041,152.69219,-34.8447,3375,,0.1356,0.0989
g1010517-230932,152.71545,-23.1589,9848,,0.1747,0.138
g1010580-003010,152.74155,-0.5028,14175,,0.0894,0.1042
g1011144-215748,152.8101,-21.9633,9730,,-0.09,0.1329
g1011347-423442,152.8947,-42.5784,12914,,-0.0478,0.1154
g1012118-023302,153.04921,-2.5506,13129,13297,0.013,0.1588
g1012147-071248,153.06135,-7.2134,12650,,0.012,0.1033
g1012426-032959,153.17729,-3.4998,12530,12679,0.0194,0.1071
g1012592-005333,153.24675,-0.8926,13666,13748,0.0785,0.1325
g1013001-172251,153.25049,-17.3809,8957,,0.0738,0.0979
g1013007-181303,153.25305,-18.2174,16002,,0.0686,0.1558
g1013008-023941,153.25336,-2.6613,13309,13297,-0.045,0.1135
g1013169-060145,153.32055,-6.0291,8303,,0.0132,0.1204
g1013181-023431,153.32535,-2.5754,13159,13297,0.1124,0.1128
g1013214-165225,153.339,-16.8735,15284,,-0.1148,0.1163
g1013217-080715,153.34034,-8.1208,13340,13387,0.0948,0.0974
g1013343-164917,153.39314,-16.8214,15644,,0.0022,0.0991
g1013343-390108,153.39284,-39.0188,9479,,-0.0192,0.108
g1013357-071945,153.39869,-7.3292,13910,,0.0416,0.1691
g1013404-350632,153.41805,-35.1088,9251,9170,-0.0803,0.1214
g1013429-345145,153.42871,-34.8626,4725,,-0.056,0.1067
g1013463-021228,153.44296,-2.2079,13489,13957,-0.2889,0.1399
g1013492-201147,153.4548,-20.1964,14680,,0.1282,0.1252
g1013557-005310,153.48195,-0.8862,12677,13748,-0.0056,0.1164
g1014185-110642,153.57689,-11.1117,12920,,0.0461,0.1027
g1014257-005219,153.60705,-0.8719,14716,13748,-0.1073,0.1065
g1014268-172602,153.61156,-17.4338,9048,,0.1628,0.1132
g1014357-020248,153.64891,-2.0465,14149,13957,-0.1086,0.1224
g1014357-110823,153.64875,-11.1398,13010,,0.0582,0.1197
g1014358-063748,153.64891,-6.6299,12591,,0.1938,0.1237
g1014537-230303,153.72375,-23.0507,4183,,0.065,0.1107
g1015166-100427,153.81929,-10.0742,12921,,-0.0156,0.1359
g1015269-130618,153.86205,-13.105,9082,,0.1535,0.1007
g1015368-203850,153.90345,-20.6473,3948,3944,-0.1169,0.097
g1015559-172501,153.9828,-17.4169,15074,,-0.0877,0.1075
g1016236-433658,154.09844,-43.6161,13271,,0.0226,0.0979
g1016252-105855,154.10475,-10.9818,16069,,-0.1878,0.172
g1016344-171549,154.14315,-17.2635,15195,,-0.0213,0.1099
g1016398-105959,154.16565,-10.9996,16069,,0.1354,0.1097
g1016545-055214,154.22715,-5.8704,11872,,0.1114,0.0972
g1017119-075741,154.2993,-7.9614,12802,,0.0702,0.1224
g1017155-075350,154.31475,-7.8973,12832,,-0.0945,0.1266
g1017181-281447,154.32539,-28.2464,13318,13279,0.0398,0.1191
g1017200-021946,154.33321,-2.3294,14689,14420,-0.0121,0.1286
g1017394-021128,154.41404,-2.191,14300,14420,0.059,0.1273
g1017401-130448,154.4172,-13.0801,9173,9253,-0.1063,0.1343
g1017490-072423,154.45426,-7.4062,13012,,-0.0544,0.1178
g1017538-003653,154.47405,-0.6148,10461,10460,-0.0473,0.1327
g1017590-344813,154.49565,-34.8036,13151,,0.0668,0.1063
g1018059-270009,154.52445,-27.0026,13201,13187,-0.2002,0.1773
g1018080-040903,154.53331,-4.1508,12052,12351,0.0136,0.1004
g1018102-130706,154.54245,-13.1183,9323,9253,-0.0254,0.0987
g1018173-181431,154.572,-18.2419,15284,15257,0.1272,0.1243
g1018180-104646,154.57515,-10.7794,12322,,0.0681,0.0983
g1018215-341515,154.58955,-34.2542,12943,,-0.0332,0.1151
g1018297-184530,154.6236,-18.7584,14954,,-0.1262,0.1105
g1018325-005932,154.63544,-0.9923,15077,,0.0135,0.1117
g1018366-175857,154.65225,-17.9825,3862,,0.0719,0.0979
g1018382-181950,154.65915,-18.3305,15494,15257,0.0872,0.1042
g1018422-181342,154.6758,-18.2284,15344,15257,0.0132,0.1003
g1018435-281718,154.68135,-28.2883,12688,13279,0.0758,0.1242
g1018442-364115,154.68405,-36.6875,4781,,0.0899,0.1094
g1019030-131405,154.76234,-13.2348,8783,9253,0.0104,0.1446
g1019030-350830,154.7625,-35.1417,9193,,0.0666,0.1238
g1019153-032351,154.81366,-3.3974,14481,14840,0.0718,0.1574
g1019179-715646,154.82444,-71.9461,5520,,-0.1232,0.1001
g1019281-175719,154.86704,-17.9552,8899,,0.0265,0.1085
g1019443-733458,154.93455,-73.5828,11986,,0.1167,0.1292
g1019468-693057,154.94491,-69.5157,12819,,-0.0163,0.1801
g1019494-195719,154.95585,-19.9554,7248,,0.212,0.1017
g1019593-113643,154.99725,-11.6118,12082,12238,0.1744,0.1114
g1020024-213107,155.01015,-21.5186,4068,4024,0.0054,0.0955
g1020080-214143,155.03356,-21.6953,3918,4024,-0.0688,0.0955
g1020104-085429,155.04315,-8.9081,13193,,0.0228,0.1056
g1020233-045909,155.097,-4.9859,12443,12173,-0.0869,0.1612
g1020245-402407,155.10195,-40.4021,7618,7653,-0.0893,0.0962
g1020353-043705,155.14695,-4.6181,12083,12173,-0.0364,0.1288
g1020436-043354,155.18176,-4.5651,11814,12173,0.0119,0.1143
g1020473-044415,155.19691,-4.7376,11874,12173,0.0723,0.1391
g1020492-093511,155.20484,-9.5863,11214,,-0.0235,0.1076
g1021351-341601,155.3961,-34.2668,3170,,0.3084,0.0972
g1021377-041847,155.4069,-4.3129,12084,12173,0.0523,0.12
g1021452-182440,155.4384,-18.411,8869,,0.1032,0.1372
g1021531-072109,155.47125,-7.3524,15742,,-0.0718,0.1697
g1022071-113505,155.52946,-11.5846,11364,,-0.085,0.0997
g1022087-050426,155.53635,-5.0738,12084,12173,0.187,0.1274
g1022096-053637,155.5398,-5.6102,11335,,-0.2227,0.1783
g1022361-033712,155.65065,-3.62,9715,,-0.085,0.103
g1023039-033715,155.76615,-3.6209,9805,,-0.0847,0.1004
g1023537-171736,155.9739,-17.2934,8332,8539,-0.0243,0.1276
g1024020-192122,156.00841,-19.356,15135,,0.169,0.1099
g1024203-264336,156.08445,-26.7267,11195,11010,-0.1704,0.1964
g1024325-361620,156.13515,-36.2723,10390,,-0.0331,0.1215
g1024570-172604,156.23744,-17.4344,8542,8539,0.0366,0.0989
g1024591-172536,156.24616,-17.4266,8572,8539,0.1521,0.1134
g1025448-091946,156.4365,-9.3295,16012,,-0.0026,0.1691
g1026082-201407,156.534,-20.2353,5990,,0.0186,0.1125
g1026095-203415,156.5394,-20.5708,12555,,0.2576,0.1233
g1026138-145752,156.55769,-14.9644,11093,,-0.0737,0.118
g1026215-023720,156.58935,-2.6222,5819,5938,0.0163,0.0926
g1026286-035457,156.61935,-3.9157,11905,,0.0086,0.1122
g1026422-020711,156.67605,-2.1197,15742,,-0.093,0.1131
g1027311-011929,156.87944,-1.3248,10915,,0.0063,0.1072
g1027338-034110,156.8907,-3.686,9267,9356,-0.0369,0.1127
g1027355-030319,156.89775,-3.0552,15023,,-0.0347,0.1102
g1027390-190256,156.9126,-19.049,14566,,0.1317,0.1579
g1027494-144659,156.95595,-14.783,12113,,-0.2262,0.1549
g1028056-034422,157.02315,-3.7396,11786,,-0.1837,0.1409
g1028240-353147,157.0998,-35.5297,2779,3016,-0.2787,0.1541
g1028465-421955,157.1937,-42.332,6264,6143,-0.0487,0.1068
g1029301-034537,157.3752,-3.7602,9568,9208,0.0378,0.0954
g1029410-211115,157.42095,-21.1876,14834,,0.0122,0.1306
g1029484-352508,157.45171,-35.4188,3349,3016,-0.205,0.1024
g1029571-351328,157.4877,-35.2244,4129,3016,0.0597,0.0992
g1029582-143806,157.4925,-14.6351,15561,,-0.0307,0.1414
g1030027-145907,157.5111,-14.9852,15861,,0.1296,0.1197
g1030292-353638,157.62149,-35.6106,2749,3016,-0.0908,0.0974
g1031223-033317,157.84275,-3.5547,11427,,-0.2853,0.1381
g1031477-024159,157.94865,-2.6998,11726,,-0.0314,0.1278
g1032019-123145,158.00775,-12.5291,9058,9176,-0.1678,0.1498
g1032123-091420,158.0514,-9.239,9569,,0.0868,0.0922
g1032128-012936,158.05319,-1.4934,12026,,0.2142,0.1364
g1032166-050221,158.0691,-5.039,9119,,-0.0571,0.0994
g1032438-123814,158.18265,-12.6372,9208,9176,-0.0291,0.1006
g1032454-124302,158.18925,-12.7172,9178,9176,0.0999,0.1254
g1032538-063026,158.2242,-6.5073,5312,,-0.0602,0.0924
g1033073-214750,158.2803,-21.7973,14834,,-0.0541,0.1816
g1033117-124018,158.2989,-12.6718,9478,9176,0.1666,0.113
g1033301-265351,158.37524,-26.8975,3912,4032,0.0452,0.0986
g1033358-272716,158.39941,-27.4544,3731,,0.0442,0.0982
g1033571-081433,158.48775,-8.2426,5312,,-0.0209,0.0979
g1034357-283405,158.6487,-28.5681,3878,4032,-0.0612,0.1011
g1035223-814442,158.84281,-81.745,11819,,0.1902,0.1274
g1035332-131441,158.88825,-13.2446,16073,,-0.0195,0.1287
g1035353-424422,158.89695,-42.7393,10551,,-0.056,0.1755
g1035485-435426,158.95185,-43.9071,6559,6468,-0.0114,0.1062
g1036104-432245,159.04335,-43.3793,6291,6468,-0.1232,0.0984
g1036118-270944,159.0492,-27.1622,4301,4032,0.0268,0.0945
g1036152-082002,159.06331,-8.3339,5313,,0.1001,0.0924
g1036160-124332,159.06645,-12.7256,15984,,0.1086,0.1186
g1036325-280349,159.1356,-28.0637,4749,4032,0.0494,0.1128
g1036347-281252,159.1446,-28.2146,4059,4032,-0.0553,0.1152
g1036428-273140,159.17835,-27.5279,4211,,0.0911,0.0956
g1036453-111654,159.18885,-11.2815,16644,15848,-0.0346,0.1095
g1036546-173709,159.22754,-17.6191,10523,,-0.1803,0.138
g1036578-173945,159.2406,-17.6625,11483,,0.0596,0.1008
g1037060-074620,159.27495,-7.7722,9181,9080,-0.0892,0.1166
g1037109-093641,159.29551,-9.6113,9390,,0.0853,0.1028
g1037163-112730,159.31769,-11.4583,16105,15848,0.0542,0.1078
g1037327-432208,159.38624,-43.369,6561,6468,0.0182,0.1045
g1037361-072615,159.40051,-7.4375,9151,9080,-0.0609,0.1222
g1037373-273539,159.40546,-27.5941,4241,4032,0.0653,0.0979
g1037404-064449,159.41834,-6.747,9211,9080,-0.0279,0.1061
g1037544-071220,159.47639,-7.2055,8881,9080,-0.0251,0.107
g1038092-113310,159.53835,-11.5529,15835,15848,-0.1237,0.139
g1038115-171237,159.54811,-17.2103,11424,,0.0662,0.1019
g1038234-164556,159.5976,-16.7656,13283,,-0.0328,0.117
g1038242-465512,159.60091,-46.92,14792,,0.1431,0.1052
g1038589-070308,159.74535,-7.0522,9001,9080,-0.0054,0.0971
g1039016-414201,159.7569,-41.7003,12953,,-0.0425,0.1056
g1039115-164911,159.798,-16.8196,13433,,0.123,0.1184
g1039370-103219,159.9042,-10.5386,9121,,0.1503,0.1028
g1039542-430746,159.9756,-43.1296,13488,,0.1404,0.0994
g1040146-461942,160.06064,-46.3284,6340,,-0.0362,0.0941
g1040332-461127,160.13821,-46.1909,6881,,0.0667,0.0931
g1040380-141520,160.15845,-14.2556,16074,,0.1246,0.1034
g1040503-275758,160.2096,-27.966,4780,4032,0.0577,0.1095
g1040551-795911,160.2297,-79.9865,11650,,0.1161,0.1232
g1041014-112704,160.25579,-11.4511,15446,,-0.0932,0.1065
g1041117-011434,160.29855,-1.2426,12088,,-0.1562,0.1116
g1041130-830903,160.30425,-83.1509,12200,,0.2308,0.1141
g1041131-024811,160.30455,-2.8029,6632,,0.0706,0.0952
g1041171-175145,160.32105,-17.8624,6387,,-0.1255,0.0978
g1041211-171427,160.33801,-17.2408,12533,,0.0825,0.1114
g1041409-171326,160.42035,-17.2239,9236,,-0.0477,0.1409
g1042252-445309,160.605,-44.8859,6166,6401,0.1842,0.1007
g1042263-174846,160.60935,-17.8129,15591,,0.0753,0.1058
g1042378-454756,160.65735,-45.799,6613,,-0.3628,0.1341
g1042489-175000,160.7037,-17.8333,15291,,-0.1075,0.1199
g1042517-455102,160.7154,-45.8506,6732,,-0.0698,0.1327
g1043078-124717,160.78259,-12.788,12838,,-0.0792,0.1135
g1043163-122105,160.81786,-12.3514,16106,,-0.1308,0.1116
g1043401-441325,160.91701,-44.2236,6529,,0.1523,0.0972
g1043487-023140,160.953,-2.5278,11369,,0.0214,0.1265
g1044005-085148,161.00191,-8.8632,9032,9029,-0.0857,0.0996
g1044047-093029,161.0196,-9.5081,15957,,-0.2107,0.1186
g1044162-111433,161.06745,-11.2426,8851,,-0.0021,0.099
g1044169-403621,161.0706,-40.6058,14037,,-0.1257,0.1072
g1044259-252237,161.10795,-25.377,4787,4774,-0.0523,0.0953
g1044269-085401,161.112,-8.9002,8582,9029,-0.0852,0.097
g1044307-141852,161.12791,-14.3146,8820,,-0.0523,0.0949
g1044498-160728,161.2074,-16.1245,7949,8239,-0.1721,0.1059
g1044510-465401,161.21235,-46.9002,14253,,0.0691,0.1012
g1044552-464509,161.2299,-46.7526,14074,,0.1467,0.1334
g1044597-462615,161.24866,-46.4374,12156,,0.2282,0.1018
g1045125-075745,161.30206,-7.9626,9722,,-0.225,0.1605
g1045259-161917,161.358,-16.3215,8278,8239,-0.0931,0.1375
g1045430-161540,161.4291,-16.261,8248,8239,0.0756,0.1143
g1045558-194307,161.48234,-19.7185,11902,,-0.0066,0.1435
g1046050-451938,161.52075,-45.3273,5776,6098,0.1172,0.1234
g1046130-442925,161.55406,-44.4904,12404,,0.055,0.1367
g1046217-021714,161.59065,-2.2871,11160,11152,0.0954,0.0941
g1046506-155840,161.7108,-15.9777,8339,8239,0.0791,0.1045
