curve,z,H0
gaussian_method3_cleaned,1.2968255189486975,67.85946688404705
gaussian_method3_cleaned,1.3231186064936193,67.83689099332153
gaussian_method3_cleaned,1.3393790893834665,67.62607060621482
gaussian_method3_cleaned,1.376907443118554,67.81874610278135
gaussian_method3_cleaned,1.396749729752655,67.60890860992788
gaussian_method3_cleaned,1.6881013809195509,67.60207743351366
gaussian_method3_cleaned,1.7561822873588662,67.40005646549558
gaussian_method3_cleaned,1.8586619494714458,67.54510147100864
gaussian_method3_cleaned,1.8822146880419315,67.6734139596213
gaussian_method3_cleaned,2.1026707716300743,67.79788444835019
gaussian_method3_cleaned,2.1695176171774317,67.770759757379
gaussian_method3_cleaned,2.252704208633853,67.75452666365099
gaussian_method3_cleaned,2.3590245779803793,67.7383279282739
gaussian_method3_cleaned,2.4449852416250115,67.71958053950857
gaussian_method3_cleaned,2.5998649927831554,67.70133134683165
gaussian_method3_cleaned,2.7313838904762293,67.59093551114232
gaussian_method3_cleaned,2.751468551320393,67.58155874904976
gaussian_method3_cleaned,2.815710072659841,67.57271270077058
gaussian_method3_cleaned,2.955818560895213,67.6573594066097
gaussian_method3_cleaned,3.0484971073057676,67.64057841989283
gaussian_method3_cleaned,3.309155476940376,67.62360294036806
gaussian_method3_cleaned,3.5141579910763747,67.53855436453152
gaussian_method3_cleaned,3.949796091582406,67.4617720398023
gaussian_method3_cleaned,4.071915932232043,67.44339400330942
gaussian_method3_cleaned,4.430278298902872,67.44333939807312
gaussian_method3_cleaned,5.1354997639307856,67.44324368552412
gaussian_method3_cleaned,5.3973496255102775,67.3903036021688
gaussian_method3_cleaned,5.757633899780233,67.42630011018235
gaussian_method3_cleaned,5.910641454228654,67.426215441389
gaussian_method3_cleaned,6.040077074369062,67.45966206893034
gaussian_method3_cleaned,6.2373254287065825,67.42372814219884
gaussian_method3_cleaned,6.29224902224037,67.45531021566053
gaussian_method3_cleaned,6.519321688844073,67.45104548535198
gaussian_method3_cleaned,6.8939969190761,67.4510227842987
gaussian_method3_cleaned,7.016112869786084,67.41951801712658
gaussian_method3_cleaned,7.961921265928008,67.41404092786398
gaussian_method3_cleaned,8.00459001017972,67.42551661707286
gaussian_method3_cleaned,8.19067014005762,67.43700150941146
gaussian_method3_fitted,0.08882519580246304,72.42270311820093
gaussian_method3_fitted,0.08955078656320793,72.41629359636478
gaussian_method3_fitted,0.10189996056260035,72.30074080893324
gaussian_method3_fitted,0.10262717984654561,72.29356744458464
gaussian_method3_fitted,0.11427825524792287,72.17339239707306
gaussian_method3_fitted,0.11427825524792287,72.17339239707306
gaussian_method3_fitted,0.12596433076052527,72.04359804016285
gaussian_method3_fitted,0.1274279891816432,72.02673795006005
gaussian_method3_fitted,0.13989436893205853,71.87817014858288
gaussian_method3_fitted,0.142099127680346,71.8510275131982
gaussian_method3_fitted,0.1524124107632424,71.72095939637812
gaussian_method3_fitted,0.16128391313978857,71.60539693076534
gaussian_method3_fitted,0.17018585541465692,71.48652445240282
gaussian_method3_fitted,0.18285105943313143,71.31331431905005
gaussian_method3_fitted,0.18285105943313143,71.31331431905005
gaussian_method3_fitted,0.2031093273055543,71.0294167335495
gaussian_method3_fitted,0.20537203954903904,70.99738136538141
gaussian_method3_fitted,0.2258393394966873,70.70674019241223
gaussian_method3_fitted,0.228889252391907,70.66348350397094
gaussian_method3_fitted,0.2488202274356378,70.38303710294423
gaussian_method3_fitted,0.2511333432259163,70.3508562620897
gaussian_method3_fitted,0.2720698458363876,70.0647748896567
gaussian_method3_fitted,0.2751916748892933,70.02306678814323
gaussian_method3_fitted,0.29639552014931786,69.7478551388394
gaussian_method3_fitted,0.29797609518031937,69.72795871469083
gaussian_method3_fitted,0.3202446594904247,69.45795730142225
gaussian_method3_fitted,0.3226474104575376,69.43004107051361
gaussian_method3_fitted,0.34522572675385066,69.18018167059759
gaussian_method3_fitted,0.3460376696545703,69.17162858415969
gaussian_method3_fitted,0.369744005610622,68.9356096039888
gaussian_method3_fitted,0.3746906678786777,68.8897437405405
gaussian_method3_fitted,0.39628824751206965,68.70325065238283
gaussian_method3_fitted,0.4215591533739213,68.51307312474998
gaussian_method3_fitted,0.443775130864183,68.36984048838826
gaussian_method3_fitted,0.4498075261512733,68.33463298272251
gaussian_method3_fitted,0.4750407811840638,68.20336366700796
gaussian_method3_fitted,0.5006727719747617,68.09436371761645
gaussian_method3_fitted,0.5087115575204082,68.06475531557516
gaussian_method3_fitted,0.5532036313942913,67.93478324519556
gaussian_method3_fitted,0.582011683919444,67.87613828343731
gaussian_method3_fitted,0.6510367714815378,67.79187999325623
gaussian_method3_fitted,0.66580954407224,67.78114376080086
gaussian_method3_fitted,0.7059047736290451,67.76041057868392
gaussian_method3_fitted,0.7160928826317172,67.75667680639968
gaussian_method3_fitted,0.7596266808551708,67.74555500460205
gaussian_method3_fitted,0.7648920842805929,67.7446242028796
gaussian_method3_fitted,0.8273064137264319,67.73778944035914
gaussian_method3_fitted,0.8605974503554127,67.73614260670118
gaussian_method3_fitted,0.912893489190771,67.73487400001795
gaussian_method3_fitted,0.9396459425497253,67.73456336452482
gaussian_method3_fitted,0.9920913662567962,67.73426680747994
gaussian_method3_fitted,1.0512859180910057,67.73415522907638
gaussian_method3_fitted,1.0855406630724065,67.73413203229583
gaussian_method3_fitted,1.119198195337852,67.7341212336912
gaussian_method3_fitted,1.2160674134612803,67.73411299621547
gaussian_method3_fitted,1.2968255189486975,67.73411226334659
gaussian_method3_fitted,1.3231186064936193,67.73411221308834
gaussian_method3_fitted,1.3393790893834665,67.7341121958593
gaussian_method3_fitted,1.376907443118554,67.73411217627655
gaussian_method3_fitted,1.396749729752655,67.73411217181784
gaussian_method3_fitted,1.6881013809195509,67.7341121661677
gaussian_method3_fitted,1.7561822873588662,67.73411216616731
gaussian_method3_fitted,1.8586619494714458,67.73411216616728
gaussian_method3_fitted,1.8822146880419315,67.73411216616728
gaussian_method3_fitted,2.1026707716300743,67.73411216616728
gaussian_method3_fitted,2.1695176171774317,67.73411216616728
gaussian_method3_fitted,2.252704208633853,67.73411216616728
gaussian_method3_fitted,2.3590245779803793,67.73411216616728
gaussian_method3_fitted,2.4449852416250115,67.73411216616728
gaussian_method3_fitted,2.5998649927831554,67.73411216616728
gaussian_method3_fitted,2.7313838904762293,67.73411216616728
gaussian_method3_fitted,2.751468551320393,67.73411216616728
gaussian_method3_fitted,2.815710072659841,67.73411216616728
gaussian_method3_fitted,2.955818560895213,67.73411216616728
gaussian_method3_fitted,3.0484971073057676,67.73411216616728
gaussian_method3_fitted,3.309155476940376,67.73411216616728
gaussian_method3_fitted,3.5141579910763747,67.73411216616728
gaussian_method3_fitted,3.949796091582406,67.73411216616728
gaussian_method3_fitted,4.071915932232043,67.73411216616728
gaussian_method3_fitted,4.430278298902872,67.73411216616728
gaussian_method3_fitted,5.1354997639307856,67.73411216616728
gaussian_method3_fitted,5.3973496255102775,67.73411216616728
gaussian_method3_fitted,5.757633899780233,67.73411216616728
gaussian_method3_fitted,5.910641454228654,67.73411216616728
gaussian_method3_fitted,6.040077074369062,67.73411216616728
gaussian_method3_fitted,6.2373254287065825,67.73411216616728
gaussian_method3_fitted,6.29224902224037,67.73411216616728
gaussian_method3_fitted,6.519321688844073,67.73411216616728
gaussian_method3_fitted,6.8939969190761,67.73411216616728
gaussian_method3_fitted,7.016112869786084,67.73411216616728
gaussian_method3_fitted,7.961921265928008,67.73411216616728
gaussian_method3_fitted,8.00459001017972,67.73411216616728
gaussian_method3_fitted,8.19067014005762,67.73411216616728
gaussian_method3_fitted,8.19067014005762,67.73411216616728
maxwell_boltzmann_method3,0.060944111541585834,75.68936263982867
maxwell_boltzmann_method3,0.06318279718558974,75.6357691342638
maxwell_boltzmann_method3,0.06541664476383338,75.57389649321
maxwell_boltzmann_method3,0.06764521637456047,75.50490983288883
maxwell_boltzmann_method3,0.06986852157089359,75.429968747644
maxwell_boltzmann_method3,0.07282503530019122,75.32252220825637
maxwell_boltzmann_method3,0.07577428451746572,75.20856169365858
maxwell_boltzmann_method3,0.07871531571210412,75.08927992946133
maxwell_boltzmann_method3,0.08238141230786016,74.93486981915335
maxwell_boltzmann_method3,0.08603758974130943,74.776445303665
maxwell_boltzmann_method3,0.09041209338613515,74.58300840150031
maxwell_boltzmann_method3,0.09477500234325399,74.38801617041428
maxwell_boltzmann_method3,0.09985178762368446,74.16059487116208
maxwell_boltzmann_method3,0.10563875482421974,73.90272869850959
maxwell_boltzmann_method3,0.11213462624125622,73.61766451661923
maxwell_boltzmann_method3,0.11933972797464605,73.30958790888401
maxwell_boltzmann_method3,0.13013387690628617,72.8679683671498
