galaxy,ra,dec,v_cmb,DM_baseline,e_DM,catalog,indicator
g0023016-634960,5.75685,-63.8333,12627,35.76219463763246,0.652999997138977,6dFGSv,FP
g0023068-570047,5.77815,-57.013,10370,35.41658751058321,0.4749999940395355,6dFGSv,FP
g0023281-041454,5.8671,-4.2484,15603,36.98473428265518,0.6069999933242798,6dFGSv,FP
g0023437-210058,5.9319,-21.0161,15488,36.5986704921775,0.593500018119812,6dFGSv,FP
g0023527-124104,5.96955,-12.6845,14298,36.97857011512959,0.5669999718666077,6dFGSv,FP
g0024003-080207,6.0012,-8.0352,9463,35.64683781572742,0.6885000467300415,6dFGSv,FP
g0024204-141356,6.0849,-14.2322,6927,34.852919712749184,0.47850000858306885,6dFGSv,FP
g0024253-141457,6.1053,-14.2491,6957,35.781303638930495,0.5239999890327454,6dFGSv,FP
g0024365-112948,6.1521,-11.4967,15975,36.91089797575118,0.6200000047683716,6dFGSv,FP
g0024365-135723,6.15225,-13.9564,7016,34.86714145951256,0.4690000116825104,6dFGSv,FP
g0024438-050856,6.18225,-5.1487,5741,33.68413146105867,0.4764999747276306,6dFGSv,FP
g0024471-204356,6.19635,-20.7321,15218,36.72998152840113,0.6535000205039978,6dFGSv,FP
g0024560-204353,6.23325,-20.7313,15878,36.755672660750996,0.6035000085830688,6dFGSv,FP
g0024598-421233,6.24915,-42.2093,12333,36.09103737222034,0.6255000233650208,6dFGSv,FP
g0025175-161010,6.32295,-16.1695,15806,36.67730361894185,0.5745000243186951,6dFGSv,FP
g0025323-621608,6.3846,-62.2689,11959,35.322668044312586,0.5160000324249268,6dFGSv,FP
g0025516-204039,6.46485,-20.6774,15608,36.278930039510286,0.6395000219345093,6dFGSv,FP
g0025525-093943,6.4686,-9.6618,4850,33.71790228381333,0.4764999747276306,6dFGSv,FP
g0026032-072005,6.5133,-7.3346,15578,35.889252180223565,0.6225000023841858,6dFGSv,FP
g0026093-094546,6.53865,-9.7626,15343,36.68924519683406,0.7145000100135803,6dFGSv,FP
g0026546-023003,6.72765,-2.5009,4001,33.36753640875474,0.48250001668930054,6dFGSv,FP
g0026582-014710,6.74265,-1.7862,3820,33.781510596737974,0.4899999797344208,6dFGSv,FP
g0027100-070213,6.7917,-7.0369,15399,37.22915618817375,0.6744999885559082,6dFGSv,FP
g0027160-415617,6.81675,-41.938,10473,35.3515492662044,0.6154999732971191,6dFGSv,FP
g0027301-013049,6.8754,-1.5135,3700,33.45820236783861,0.4814999997615814,6dFGSv,FP
g0027464-101547,6.94335,-10.2629,13935,36.277728512506194,0.5649999976158142,6dFGSv,FP
g0028156-484003,7.06485,-48.6674,9277,35.735231444429864,0.5274999737739563,6dFGSv,FP
g0028268-211512,7.1115,-21.2533,15881,36.949082911772834,0.7925000190734863,6dFGSv,FP
g0028395-113827,7.1646,-11.6407,5874,35.02736339696692,0.48099997639656067,6dFGSv,FP
g0028397-130037,7.16535,-13.0102,7346,34.9024483042557,0.4634999930858612,6dFGSv,FP
g0029006-081906,7.25265,-8.3184,5868,35.071644155072974,0.4819999933242798,6dFGSv,FP
g0029318-135937,7.3824,-13.9935,15863,35.87362021405522,0.5429999828338623,6dFGSv,FP
g0029417-513114,7.4235,-51.5207,3117,33.38787776997095,0.48399999737739563,6dFGSv,FP
g0029494-011406,7.4556,-1.2349,9787,37.35244167158364,0.6129999756813049,6dFGSv,FP
g0029574-051738,7.48905,-5.2938,7333,34.554602127816224,0.5180000066757202,6dFGSv,FP
g0030294-430525,7.6224,-43.0903,9701,36.074276125129416,0.5789999961853027,6dFGSv,FP
g0030494-572826,7.7058,-57.4739,8486,36.07920880741487,0.5874999761581421,6dFGSv,FP
g0030582-092415,7.7424,-9.4041,10488,35.67965703177099,0.6279999613761902,6dFGSv,FP
g0031106-562956,7.7943,-56.4989,8211,34.97617395436987,0.49950000643730164,6dFGSv,FP
g0031140-365114,7.8084,-36.8539,7005,34.43573431146504,0.47699999809265137,6dFGSv,FP
g0032068-130323,8.0283,-13.0563,15982,37.10334929482366,0.6639999747276306,6dFGSv,FP
g0032235-421024,8.0979,-42.1734,9577,34.90634105551084,0.5705000162124634,6dFGSv,FP
g0032292-422726,8.12175,-42.4573,9698,35.623104518372465,0.4899999797344208,6dFGSv,FP
g0032398-025457,8.16585,-2.9157,5293,34.28520307022066,0.46700000762939453,6dFGSv,FP
g0032406-163759,8.16915,-16.6331,10084,35.40335781757091,0.6179999709129333,6dFGSv,FP
g0032418-822309,8.1744,-82.3858,12740,36.53054077121709,0.6459999680519104,6dFGSv,FP
g0032490-421707,8.20395,-42.2851,15874,36.644625593666,0.5954999923706055,6dFGSv,FP
g0032578-181245,8.24085,-18.2125,15875,37.0327623931631,0.5335000157356262,6dFGSv,FP
g0033016-672835,8.25645,-67.4763,12201,36.362170721589465,0.5290000438690186,6dFGSv,FP
g0033369-524807,8.40375,-52.802,14037,35.59606515051127,0.4909999966621399,6dFGSv,FP
g0034015-430849,8.5062,-43.1468,15698,36.185415362517304,0.5540000200271606,6dFGSv,FP
g0034162-375314,8.5677,-37.8871,8929,35.26770778586085,0.5254999995231628,6dFGSv,FP
g0034195-123923,8.58105,-12.6562,7708,34.782902206525954,0.4625000059604645,6dFGSv,FP
g0034393-181241,8.66355,-18.2113,15546,36.26828693318899,0.687000036239624,6dFGSv,FP
g0034420-181203,8.6748,-18.2008,15846,35.22829191085374,0.47200000286102295,6dFGSv,FP
g0034513-522145,8.71395,-52.3626,13496,36.945719077550834,0.6004999876022339,6dFGSv,FP
g0035112-435906,8.79675,-43.985,7368,34.612941737648676,0.6159999966621399,6dFGSv,FP
g0035131-373329,8.8047,-37.558,6920,34.444224127544864,0.49400001764297485,6dFGSv,FP
g0035132-604923,8.80485,-60.823,11923,37.113621335259126,0.8855000138282776,6dFGSv,FP
g0035176-023908,8.8233,-2.6523,5744,35.00976592163359,0.4789999723434448,6dFGSv,FP
g0035339-025055,8.8914,-2.8487,5684,34.008964053393,0.531499981880188,6dFGSv,FP
g0035407-091010,8.9196,-9.1696,16096,36.01428339539897,0.5659999847412109,6dFGSv,FP
g0035479-454021,8.9496,-45.6725,10824,37.03613252622375,0.6225000023841858,6dFGSv,FP
g0035508-594138,8.9619,-59.6938,9998,34.90275934253,0.4724999964237213,6dFGSv,FP
g0035582-422946,8.99265,-42.4962,14167,35.90308322060608,0.48749998211860657,6dFGSv,FP
g0036052-034014,9.0219,-3.6706,15159,35.956046431125955,0.6710000038146973,6dFGSv,FP
g0036126-121530,9.0525,-12.2584,6359,34.84563790498649,0.5054999589920044,6dFGSv,FP
g0036293-004343,9.1218,-0.7286,9909,35.76934275123281,0.5964999794960022,6dFGSv,FP
g0037011-214725,9.2544,-21.7901,15527,36.888131554559024,0.7460000514984131,6dFGSv,FP
g0037215-195603,9.33975,-19.9342,3590,33.480165883728695,0.5130000114440918,6dFGSv,FP
g0037253-014112,9.35565,-1.6867,15667,36.65062295792474,0.5659999847412109,6dFGSv,FP
g0037424-141047,9.42645,-14.1796,15718,36.05018018847439,0.5049999952316284,6dFGSv,FP
g0037463-175058,9.4428,-17.8495,5653,34.61758861553379,0.4620000123977661,6dFGSv,FP
g0037588-340346,9.49485,-34.0628,16050,36.59106881566766,0.612500011920929,6dFGSv,FP
g0038034-144217,9.51405,-14.7046,15539,36.222309073532145,0.546500027179718,6dFGSv,FP
g0038162-170319,9.5676,-17.0551,15785,36.69591657197827,0.5290000438690186,6dFGSv,FP
g0038350-440434,9.6459,-44.076,13426,36.47992699799919,0.6990000009536743,6dFGSv,FP
g0038413-771817,9.67215,-77.3046,13280,35.60318400084218,0.5740000009536743,6dFGSv,FP
g0038498-030229,9.7077,-3.0414,15040,37.29643283167486,0.5885000228881836,6dFGSv,FP
