CID,RA,DEC,zCMB,HOST_LOGMASS,IS_CALIBRATOR,V_rot,V_rot_source,U_i,X_i
2008gb,44.488,46.8657,0.03641,9.17934,0,93.51149400926373,tully-fisher,4372.199755922283,-3.58889444577237e-08
2007O,224.022,45.4047,0.03732,10.8351,0,242.5520757572123,tully-fisher,29415.754727066218,2.427581839665281e-07
2008fr,17.9548,14.6408,0.0379,8.07746,0,49.59010132494765,tully-fisher,1229.5890747092872,-7.08552039637871e-08
SN2017ciy,256.029,25.0529,0.03762,9.7066,0,126.67181568269505,tully-fisher,8022.874444175333,4.730289507459133e-09
2008O,104.394,-45.8123,0.0394,11.4466,0,344.8895182558781,tully-fisher,59474.389901385824,5.77205605082548e-07
2009bv,196.835,35.7844,0.03748,10.123,0,160.98299230276214,tully-fisher,12957.761905375586,5.963831761068674e-08
2008051,229.995,4.9046,0.03835,8.26419,0,55.217596096799305,tully-fisher,1524.4914593546328,-6.757397241572721e-08
ASASSN-15np,226.511,7.5615,0.03832,10.1408,0,162.64098493083068,tully-fisher,13226.044989635344,6.262336949808532e-08
2010dw,230.668,-5.9211,0.03871,10.008,0,150.6711127467434,tully-fisher,11350.892108170929,4.175947991138045e-08
ASASSN-15pn,60.8598,-5.492,0.038,9.1308,0,90.93477481222706,tully-fisher,4134.566635075222,-3.853296951003049e-08
1999aw,165.402,-6.1088,0.03928,9.41836,0,107.30500908638085,tully-fisher,5757.182487514138,-2.0478933318333983e-08
2008dr,332.715,2.1082,0.03996,11.3888,0,333.6030370170585,tully-fisher,55645.493153502444,5.346033832709883e-07
PS15cze,56.8476,0.8772,0.03891,10.4136,0,190.29614727035178,tully-fisher,18106.311832969706,1.1692366126601126e-07
2003fa,266.032,40.881,0.04015,10.3091,0,179.18637996359607,tully-fisher,16053.87938222911,9.408727045238336e-08
SN2016glz,1.4732,8.4302,0.03975,9.40195,0,106.29614040844577,tully-fisher,5649.434732866007,-2.167778877082293e-08
PS16axi,162.03,0.1635,0.04056,10.1805,0,166.40064128321177,tully-fisher,13844.586709732059,6.950557429345643e-08
SN2017coa,132.48,56.099,0.04045,8.76499,0,73.6677652768712,tully-fisher,2713.4698204440942,-5.434480401459992e-08
2009do,188.743,50.8512,0.04027,10.4649,0,195.9995145333946,tully-fisher,19207.90484866318,1.2918053657260744e-07
2001az,248.615,76.0297,0.04059,10.239,0,172.09965339313158,tully-fisher,14809.145349018008,8.023773653414157e-08
2007jh,54.0064,1.1034,0.04023,10.84,0,243.23720012927356,tully-fisher,29582.16776336413,2.4460977870817736e-07
1992bl,348.805,-44.7433,0.0428,10.8343,0,242.44040211420983,tully-fisher,29388.674288649876,2.424568734533091e-07
2014bj,290.663,43.8908,0.04239,7.87303,0,44.08465999898464,tully-fisher,971.7286236130382,-7.372428841744963e-08
2006cf,163.511,46.0267,0.04223,10.9479,0,258.82426873858526,tully-fisher,33495.00104403169,2.881459203988096e-07
2006cz,222.153,-4.7419,0.04251,10.8544,0,245.26184766174768,tully-fisher,30076.686959227154,2.5011204681814316e-07
2007kk,55.5969,39.2418,0.0413,10.8891,0,250.21019171331292,tully-fisher,31302.570018606402,2.637518353654782e-07
