CID,sn_ra,sn_dec,zCMB,HOST_LOGMASS,IS_CALIBRATOR,pgc,galaxy_name,match_sep_arcsec,log_2Vm,e_log_2Vm,u_log_2Vm,vmax_apparent,VHI,e_VHI,m21,logR25,inclination_deg,v_rot,v_rot_log,mtype,v_rot_alfalfa,w50_alfalfa,v_rot_sparc,v_rot_deep,v_rot_source
2008dr,332.715,2.1082,0.03996,11.3888,0,68224.0,NGC7222,9.032740447947193,,,,,,,,0.0099999997764825,12.50496314947571,,,SBab,,,,,None
PS15cze,56.8476,0.8772,0.03891,10.4136,0,,,,,,,,,,,,,,,,,,,,None
2003fa,266.032,40.881,0.04015,10.3091,0,60771.0,MCG7-36-033,50.13232490121931,,,,,,,,0.1599999964237213,47.47215110988318,,,Sb,,,,,None
SN2016glz,1.4732,8.4302,0.03975,9.40195,0,,,,,,,,,,,,,,,,,,,,None
PS16axi,162.03,0.1635,0.04056,10.1805,0,32277.0,,13.191285001847268,,,,,,,,0.1700000017881393,48.76560643100902,,,,,,,,None
SN2017coa,132.48,56.099,0.04045,8.76499,0,,,,,,,,,,,,,,,,,,,,None
2009do,188.743,50.8512,0.04027,10.4649,0,41909.0,?NGC4537,14.703482580593054,,,,,,,,0.3400000035762787,65.1978713212099,,,,,,,,None
2001az,248.615,76.0297,0.04059,10.239,0,58525.0,UGC10483,19.521690500348964,,,,,,,,0.3499999940395355,65.94311571372272,,,Sbc,,,,,None
2007jh,54.0064,1.1034,0.04023,10.84,0,13297.0,CGCG391-14,5.839452029083282,,,,,,,,0.2199999988079071,54.54099080577416,,,,,,,,None
1992bl,348.805,-44.7433,0.0428,10.8343,0,70827.0,ESO291-11,28.332567832910488,,,,,,,,0.1700000017881393,48.76560643100902,,,SBb,,,,,None
2014bj,290.663,43.8908,0.04239,7.87303,0,,,,,,,,,,,,,,,,,,,,None
2006cf,163.511,46.0267,0.04223,10.9479,0,32729.0,UGC6015,5.292863119352035,,,,,,,,0.1099999994039535,40.0479631355386,,,Sc,,,,,None
2006cz,222.153,-4.7419,0.04251,10.8544,0,52882.0,MCG-1-38-002,20.917590683445717,,,,,,,,0.1299999952316284,43.235793359656256,,,Sc,,,,,None
2007kk,55.5969,39.2418,0.0413,10.8891,0,13613.0,UGC2828,16.525616478676298,,,,,,,,0.0900000035762786,36.47784060460967,,,SBb,,,,,None
AT2016htm,38.0109,-26.6659,0.04265,9.40838,0,133941.0,,19.778907957737513,,,,,,,,0.25,57.56031600718797,,,Sc,,,,,None
ASASSN-16ct,228.476,4.7573,0.04252,8.98925,0,1272824.0,,50.50661738815331,,,,,,,,0.2599999904632568,58.50598699409827,,,,,,,,None
SN2016ayg,112.572,25.0321,0.04328,8.05522,0,,,,,,,,,,,,,,,,,,,,None
2007nq,14.3899,-1.3886,0.04275,11.1165,0,3444.0,UGC595,21.42571352369659,,,,,,,,0.0399999991059303,24.747746415913262,,,E,,,,,None
MASTERJ0134,23.5627,-17.8121,0.04391,9.19675,0,877124.0,,6.6896935654838705,,,,,,,,0.2000000029802322,52.35549301228906,,,,,,,,None
ASASSN-15mg,233.094,41.8504,0.04307,9.84386,0,2187931.0,,1.55999999996521,,,,,,,,0.5199999809265137,76.64742885797187,,,,,,,,None
AT2016cvv,290.12,54.2087,0.04404,11.4594,0,63086.0,MCG9-31-033,25.87860892685778,,,,,,,,0.1599999964237213,47.47215110988318,,,Sbc,,,,,None
2005ku,344.927,-0.0137,0.04397,9.64568,0,1154145.0,NPM1G-00.0607,1.8282231808808465,,,,,,,,0.3600000143051147,66.67142237937365,,,,,,,,None
1992bh,74.8628,-58.8304,0.0451,10.1363,0,376039.0,,6.090155991411146,,,,,,,,0.2399999946355819,56.58550530533143,,,,,,,,None
2006gt,14.0721,-1.6294,0.04366,9.98853,0,1114283.0,,12.5725574168474,,,,,,,,0.1899999976158142,51.20352326028178,,,,,,,,None
2006hx,18.4888,0.3717,0.04429,10.1086,0,73820.0,DRCG6-85,2.0191087142636395,,,,,,,,0.2300000041723251,55.57973309955202,,,SO,,,,,None
PS16cqa,234.779,9.2946,0.04433,10.6243,0,3091482.0,NPM1G+09.0435,5.9458893363695156,,,,,,,,,,,,,,,,,None
PSNJ1204051,181.021,14.0681,0.04502,10.0939,0,38162.0,CGCG69-37,11.468025113309624,,,,,,,,0.209999993443489,53.46706408792203,,,,,,,,None
2005hc,29.1998,-0.2137,0.04496,7.0,0,7299.0,MCG0-06-003,6.186339790199534,,,,,,,,0.1700000017881393,48.76560643100902,,,S?,,,,,None
SN2016esh,241.06,16.6902,0.04488,9.49048,0,1514680.0,,0.279999999992242,,,,,,,,0.0799999982118606,34.51186683094512,,,,,,,,None
PS17tn,145.807,41.3173,0.04549,10.2394,0,2179170.0,,7.91191506530461,,,,,,,,0.0399999991059303,24.747746415913262,,,,,,,,None
2008050,204.198,5.1418,0.04627,9.02736,0,,,,,,,,,,,,,,,,,,,,None
AT2016ews,225.652,23.3528,0.04612,10.3881,0,53709.0,NGC5829,108.98869849658507,2.190000057220459,0.0199999995529651,0.0,77.44084114883955,5686.0,6.0,15.1899995803833,0.0599999986588954,30.09793122596416,154.4247398381619,154.4247398381619,,,,,154.4247398381619,HyperLEDA
2005lz,32.7073,34.9828,0.04541,11.0342,0,8334.0,UGC1666,20.014364841298033,,,,,,,,0.0,0.0,,,,,,,,None
360156,150.807,1.8953,0.04673,9.8038,0,1209424.0,,1.6144348856783757,,,,,,,,0.1500000059604644,46.12309276496313,,,,,,,,None
2004gu,191.603,11.9489,0.0467,10.026,0,92948.0,FGCA175,1.0057832768725417,,,,,,,,0.4900000095367431,74.95172186772803,,,,,,,,None
2008cf,211.886,-26.5518,0.04692,8.91208,0,766647.0,,5.31040488099945,,,,,,,,0.0799999982118606,34.51186683094512,,,,,,,,None
AT2017yk,146.133,-12.3082,0.04764,10.0803,0,154234.0,,6.144949145361444,,,,,,,,0.1000000014901161,38.31727915996693,,,,,,,,None
2016afk,155.625,15.0966,0.04677,9.44086,0,1475131.0,,0.2400000000015723,,,,,,,,0.2000000029802322,52.35549301228906,,,,,,,,None
PS16fa,154.819,4.7617,0.04734,10.2881,0,30159.0,CGCG36-91,15.712873702801597,,,,,,,,0.25,57.56031600718797,,,,,,,,None
PS15aii,191.19,9.7597,0.04768,10.3823,0,42943.0,CGCG71-25,7.9200000000007265,,,,,,,,0.1500000059604644,46.12309276496313,,,Sc,,,,,None
PS17akj,207.455,-3.08,0.0478,8.85712,0,,,,,,,,,,,,,,,,,,,,None
ATLAS16agv,250.29,50.9724,0.04777,9.10622,0,,,,,,,,,,,,,,,,,,,,None
ASASSN-15pm,24.6504,-4.6798,0.04777,10.292,0,144213.0,,14.035740094475017,,,,,,,,0.3100000023841858,62.851244216588995,,,,,,,,None
1995ac,341.392,-8.7513,0.04867,10.3844,0,999654.0,,6.872583211625582,,,,,,,,0.6299999952316284,82.8302997375025,,,,,,,,None
AT2016gmg,320.924,33.1147,0.04839,10.9955,0,2023866.0,,19.711073030190963,,,,,,,,0.1299999952316284,43.235793359656256,,,,,,,,None
1990af,323.747,-62.7371,0.05018,11.2421,0,340526.0,,1.8529975712653883,,,,,,,,0.0599999986588954,30.09793122596416,,,,,,,,None
PS16el,162.802,19.3625,0.04896,9.98418,0,,,,,,,,,,,,,,,,,,,,None
2006cq,201.105,30.9563,0.04928,10.6551,0,46872.0,IC4239,10.7472042875956,2.691999912261963,0.0109999999403953,0.0,246.01971813876,14522.0,12.0,16.600000381469727,0.1500000059604644,46.12309276496313,341.3003605697459,341.3003605697459,SBa,,,,341.3003605697459,HyperLEDA
1993ag,150.894,-35.4626,0.05019,10.7191,0,648636.0,,13.333026663051664,,,,,,,,0.2399999946355819,56.58550530533143,,,,,,,,None
PS15asb,215.085,-9.3009,0.04952,10.2884,0,96822.0,,50.10486603118838,,,,,,,,0.2000000029802322,52.35549301228906,,,,,,,,None
1998dx,272.8,49.8613,0.0498,11.2793,0,61514.0,UGC11149,35.58682902439778,,,,,,,,0.2199999988079071,54.54099080577416,,,,,,,,None
PS16dnp,344.915,2.1498,0.04998,8.04941,0,,,,,,,,,,,,,,,,,,,,None
2007kh,48.8004,43.1703,0.04944,9.56783,0,,,,,,,,,,,,,,,,,,,,None
ASASSN-17eb,234.642,13.3478,0.0497,10.8378,0,,,,,,,,,,,,,,,,,,,,None
PS15brr,358.356,-15.6545,0.05063,9.68818,0,908217.0,,12.790621564135291,,,,,,,,0.6899999976158142,87.59749691205899,,,,,,,,None
2008hu,122.312,-18.6536,0.05071,11.5,0,3098443.0,,8.690891783900966,,,,,,,,,,,,,,,,,None
AT2016cor,236.13,16.3035,0.04995,9.59462,0,1505620.0,,4.71274866697984,,,,,,,,0.050000000745058,27.571955431350226,,,,,,,,None
PS16fbb,1.7631,-20.6968,0.05139,8.77965,0,838161.0,,3.963079610607236,,,,,,,,0.3499999940395355,65.94311571372272,,,,,,,,None
2003ic,10.4593,-9.3053,0.05196,9.30338,0,2501.0,MCG-2-02-086,9.137111140834822,,,,,,,,0.1700000017881393,48.76560643100902,,,SO,,,,,None
ASASSN-16hc,209.768,33.139,0.05165,10.7547,0,2024619.0,,25.38995864512572,,,,,,,,0.0700000002980232,32.395916947825754,,,,,,,,None
1993O,202.785,-33.2152,0.05148,10.2759,0,679349.0,,8.635299647374497,,,,,,,,0.209999993443489,53.46706408792203,,,,,,,,None
2006ot,33.7702,-20.7662,0.05232,11.3736,0,8610.0,ESO544-31,6.789756991238472,,,,,,,,0.3300000131130218,64.43478676271998,,,Sa,,,,,None
AT2016htn,32.8711,-16.5102,0.05229,10.2648,0,897199.0,,13.648443134675912,,,,,,,,0.1800000071525573,50.00806395299904,,,,,,,,None
PS16evk,338.344,-1.357,0.0532,9.93232,0,,,,,,,,,,,,,,,,,,,,None
PS16n,75.9333,3.4125,0.05268,10.0228,0,,,,,,,,,,,,,,,,,,,,None
2010dt,250.811,32.6751,0.05291,10.1659,0,58829.0,CGCG168-29,24.035382252200865,,,,,,,,,,,,,,,,,None
2006lu,138.824,-25.6001,0.05449,10.0668,0,,,,,,,,,,,,,,,,,,,,None
PS16bby,215.075,-22.189,0.0543,10.4871,0,,,,,,,,,,,,,,,,,,,,None
PS16ayd,216.826,-1.6753,0.05485,10.4328,0,51614.0,CGCG19-27,14.58240035103285,,,,,,,,0.1500000059604644,46.12309276496313,,,,,,,,None
SN2017cpu,211.969,9.642,0.05529,10.521,0,3091462.0,NPM1G+09.0358,3.827531841812595,,,,,,,,,,,,,,,,,None
490007,184.268,46.6275,0.05513,9.16275,0,,,,,,,,,,,,,,,,,,,,None
AT2017oz,211.673,30.3188,0.05641,9.48953,0,,,,,,,,,,,,,,,,,,,,None
2006py,340.425,-0.1369,0.05658,9.57313,0,,,,,,,,,,,,,,,,,,,,None
