pgc,galaxy_name,cep_mu,cep_mu_err,trgb_mu,trgb_mu_err,delta_mu,delta_mu_err,ra,dec,v_cmb,cep_source,trgb_source,sample,r22_matched,sigma_kms,sigma_err_kms,U_i,S_total,X_i,X_i_unscreened,U_i_err,X_i_err,cmb_dot,cmb_sep_deg
34695,PGC 34695,29.979,0.08,30.21,0.1,-0.23100000000000165,0.12806248474865697,170.0625,12.991,1076.0,CF4_registered,CF4_registered,CF4,False,123.53155467328983,2.545584412271571,15260.044999999995,0.6967304549770724,1.0794331177546934e-07,8.525467175353821e-08,628.9199999999998,4.875495887100694e-09,0.9394160585782789,20.04627881236087
37967,PGC 37967,31.603,0.116,31.67,0.14,-0.06700000000000017,0.1818130908378162,180.4709,-18.868,2036.0,CF4_registered,CF4_registered,CF4,False,119.571757,11.9571757,14297.40507206705,0.9317852262889048,1.3787329480355312e-07,7.454385805579778e-08,2859.48101441341,2.9645694702185954e-08,0.9560547113243648,17.04893264941165
39600,PGC 39600,29.363,0.057,29.4,0.08,-0.036999999999999034,0.09822932352408827,184.7398,47.3038,652.0,CF4_registered,CF4_registered,CF4,False,150.543034,15.054303400000002,22663.205085925158,0.09568098445277634,1.3771945394697304e-08,1.6762593659932367e-07,4532.641017185032,4.825424820414794e-09,0.5555544840529918,56.25108523943046
40809,PGC 40809,30.844,0.128,31.0,0.09,-0.1559999999999988,0.1564736399525492,186.799,9.4202,767.0,CF4_registered,CF4_registered,CF4,False,20.223254,2.0223254,408.98000234851605,0.0270303739152203,-1.02321765522974e-08,-7.998571126739031e-08,81.79600046970322,2.460043101585347e-11,0.9069287833504445,24.91567634215047
45314,PGC 45314,28.229,0.06,28.14,0.04,0.08899999999999864,0.07211102550927978,196.4565,37.605,545.0,CF4_registered,CF4_registered,CF4,False,27.86000717874997,1.0606601717798212,776.18,1.0,-1.7190115022996886e-09,-7.590006028769218e-08,59.099999999999994,6.575761831276886e-10,0.6172507379832194,51.884354423256504
50063,PGC 50063,29.178,0.041,29.07,0.08,0.10800000000000054,0.08989438247187641,210.8025,54.3491,240.0,CF4_registered,CF4_registered,CF4,False,193.817969,19.3817969,37565.40510728496,0.8089374852214116,3.2775763619200995e-07,3.3343527349020587e-07,7513.081021456993,6.762256297987733e-08,0.3258533880574311,70.98271474404608
51969,PGC 51969,30.546,0.052,30.42,0.11,0.12599999999999767,0.12167168939404104,218.1696,-44.1745,1166.0,CF4_registered,CF4_registered,CF4,False,121.056681,12.1056681,14654.72001473576,0.7570263589915945,1.1308232237483205e-07,7.851952296568914e-08,2930.9440029471525,2.4687500216441745e-08,0.5397189380793085,57.3354922060016
63616,PGC 63616,23.297,0.02,23.53,0.07,-0.23300000000000054,0.07280109889280519,296.2374,-14.8003,-256.0,CF4_registered,CF4_registered,CF4,False,65.33666658163699,4.030508652763321,4268.88,1.0,3.714251700548505e-08,-3.7038531779907443e-08,526.68,5.860105315223198e-09,-0.5638761844700153,124.32428789643721
73049,PGC 73049,27.619,0.04,27.75,0.08,-0.13100000000000023,0.08944271909999159,359.4573,-32.591,-53.0,CF4_registered,CF4_registered,CF4,False,60.74047250392443,1.131370849898476,3689.4049999999997,1.0,3.0694988093168344e-08,-4.348606069222415e-08,137.44,1.5292262370400935e-09,-0.7543980547778808,138.97280089023107
21373,NGC 2442,31.457,0.065,31.646,0.097,-0.18900000000000006,0.11676472069936193,114.09904189399002,-69.53083273787,,R22_HST,CCHP F115W (Freedman et al. 2024 arXiv:2408.06153v3 Table 2),JWST,True,160.301107,16.0301107,25696.44490542545,0.0452552109827608,2.5838069387071523e-09,2.0137528115123435e-07,5139.28898108509,2.5877971292167633e-09,0.31808191442145134,71.4530332110086
